Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,69.34339828162823,69.40479661346401,69.69551400034659,70.8824889966164
1,74.93341877178267,74.8025437093429,75.53145849279747,75.97244012519701
2,77.49154418391744,77.80878993858775,78.1107297429999,78.4914811854565
3,79.65963632277145,80.10953439791719,79.81017486448194,80.84813965745005
4,83.10455462883273,82.75759632595626,82.11936387143734,82.48149524949908
5,85.27955591978605,83.39941527814244,83.72244028219113,84.12137111713446
6,87.73066363900823,85.53083122539607,85.66335347640758,85.68639109333313
7,88.85098506602606,86.34101081219893,87.19131297337132,87.58398726959966
8,90.60446198957169,88.19777047551293,88.82821976012862,89.1374598637741
9,91.38694890854072,88.75421414339019,90.00389237553443,90.21232637573034
10,92.51640864867461,90.13152668906422,91.16047551308895,91.19219042287139
11,93.0102871105446,90.64434586797009,91.86813934697928,92.0648702290255
12,93.71529640918374,91.65382695342637,92.80083337522433,92.7294009206813
13,94.13665875181947,92.09695262748794,93.36068748873227,93.2482412039499
14,94.64973864050613,92.9585095175367,93.97293033398444,93.87222345612547
15,94.88735391811757,93.21665723252465,94.49620311204265,94.39976955352584
16,95.1981457688668,93.84445903558147,95.01055699259608,94.84752458006629
17,95.40107725805383,94.13164478098939,95.40337431998101,95.24993137842895
18,95.61891845644782,94.65609733537649,95.7864512200737,95.62045884309131
19,95.75446843776814,94.859828575643,96.09692207536622,95.94814082485422
20,96.00353251877995,95.20652823634896,96.45383430723258,96.22485874936251
21,96.13745282420255,95.36020594274802,96.68844332209794,96.47575326324792
22,96.26829323111504,95.62297987745005,96.92344728023926,96.70262848329895
23,96.350343328475,95.7676068320017,97.10434853118308,96.90338391854853
24,96.47215011302956,96.0520938266098,97.29942842285435,97.0785596397594
25,96.55074988712484,96.18398942825247,97.43807644135116,97.2238908120735
26,96.65607640405692,96.36906680705756,97.59316425400026,97.37154946312386
27,96.70718572809102,96.47703481599811,97.69437722274586,97.4852767505137
28,96.79439675519107,96.64505195869945,97.7974978255548,97.59173458016814
29,96.84274706143695,96.7532400840141,97.90272308295013,97.71128044222498
30,96.96228688673749,96.86065856684198,97.99275997967004,97.80921063536583
31,97.01938375613082,96.92027227629698,98.05889293678852,97.89849942795658
