Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
113,95.78240669356184,97.64545430253729,97.51069114312808,97.05817331137891,94.82785750687138,95.77805117807027,96.14606961627481
114,95.91035597711635,97.7010160382373,97.6341482006638,97.08798226990133,94.99772251508517,95.91872225617719,96.238081722575
115,95.91035597711635,97.7010160382373,97.6341482006638,97.1175774475672,94.99772251508517,95.91872225617719,96.238081722575
116,96.02774192269841,97.7512961277866,97.7512992070407,97.15215845072495,95.13448215703778,96.04215133735116,96.38049427342163
117,96.02774192269841,97.7512961277866,97.7512992070407,97.18407329516486,95.13448215703778,96.04215133735116,96.38049427342163
118,96.13303051446529,97.79754284672138,97.85821443512494,97.21114767548717,95.30165517441229,96.16521711503188,96.50539132525189
119,96.13303051446529,97.79754284672138,97.85821443512494,97.24113687899877,95.30165517441229,96.16521711503188,96.50539132525189
120,96.24495289016359,97.85021324007857,97.95486218185937,97.26899083820665,95.40992390511266,96.26094543280033,96.59279104676862
121,96.24495289016359,97.85021324007857,97.95486218185937,97.29561405817422,95.40992390511266,96.26094543280033,96.59279104676862
122,96.35277765374869,97.89926820273368,98.05608177340231,97.31954749977442,95.56304341048883,96.36949397567611,96.68010703529545
123,96.35277765374869,97.89926820273368,98.05608177340231,97.34507287200228,95.56304341048883,96.36949397567611,96.68010703529545
124,96.44733652152516,97.94304127214698,98.14545897618774,97.36777431922843,95.71222636750431,96.45212204431466,96.75973481450485
125,96.44733652152516,97.94304127214698,98.14545897618774,97.39256140675123,95.71222636750431,96.45212204431466,96.75973481450485
126,96.53680389197164,97.9812545825064,98.22913676726891,97.4135756675621,95.85353533596376,96.54453056997518,96.8399269069481
127,96.53680389197164,97.9812545825064,98.22913676726891,97.43790816171779,95.85353533596376,96.54453056997518,96.8399269069481
128,96.63580861997362,98.02428552438231,98.30431008385808,97.46330053988036,95.96316907294185,96.62649644029315,96.91379917755664
129,96.63580861997362,98.02428552438231,98.30431008385808,97.48636833120327,95.96316907294185,96.62649644029315,96.91379917755664
130,96.72067957186634,98.06833423722136,98.37838538163851,97.51190252589929,96.08849264446351,96.72203310809086,97.00571474924453
131,96.72067957186634,98.06833423722136,98.37838538163851,97.53311707197128,96.08849264446351,96.72203310809086,97.00571474924453
132,96.78906724376559,98.09385566614617,98.45011634241988,97.5543867774157,96.20115277184149,96.79785400693137,97.09306662907015
133,96.78906724376559,98.09385566614617,98.45011634241988,97.57708856252947,96.20115277184149,96.79785400693137,97.09306662907015
134,96.85713448787064,98.13486405953145,98.51376056050343,97.59442507836623,96.3122475187453,96.87764047806438,97.16009401966595
135,96.85713448787064,98.13486405953145,98.51376056050343,97.61213098486729,96.3122475187453,96.87764047806438,97.16009401966595
136,96.94664450448781,98.17132324598144,98.57346118490894,97.62969521791246,96.42542048826219,96.96708624978613,97.229696563498
137,96.94664450448781,98.17132324598144,98.57346118490894,97.64970968348545,96.42542048826219,96.96708624978613,97.229696563498
138,97.02166476157787,98.19875918052522,98.63256140504063,97.66594866557962,96.53073914481747,97.037675805001,97.29955359509887
139,97.02166476157787,98.19875918052522,98.63256140504063,97.68309359782539,96.53073914481747,97.037675805001,97.29955359509887
140,97.08725398572072,98.231286115989,98.6826494026039,97.70033495773191,96.59449474315213,97.10779013350941,97.3477753561902
141,97.08725398572072,98.231286115989,98.6826494026039,97.71705608352029,96.59449474315213,97.10779013350941,97.3477753561902
142,97.1607587692571,98.25685714164676,98.73290956738393,97.73368408430662,96.68573379109462,97.17532379978037,97.42974423073456
143,97.1607587692571,98.25685714164676,98.73290956738393,97.75200493778601,96.68573379109462,97.17532379978037,97.42974423073456
144,97.21938229751122,98.28209600483365,98.77582126279555,97.76806206594954,96.7756643959871,97.24524870815023,97.47058070545788
145,97.21938229751122,98.28209600483365,98.77582126279555,97.78207165085281,96.7756643959871,97.24524870815023,97.47058070545788
146,97.26964268466007,98.30771798893497,98.81920309494092,97.79571809783342,96.87024502482909,97.31010459944422,97.54421578024066
147,97.26964268466007,98.30771798893497,98.81920309494092,97.80746115154211,96.87024502482909,97.31010459944422,97.54421578024066
148,97.33667375752958,98.34013351370044,98.86266868828936,97.82290422233946,96.95330499742303,97.36765013560856,97.58997653057713
149,97.33667375752958,98.34013351370044,98.86266868828936,97.83723416566978,96.95330499742303,97.36765013560856,97.58997653057713
150,97.39418296960152,98.37232851511573,98.90115929835578,97.85270110117834,97.03720968000371,97.4337000306483,97.65057117963303
151,97.39418296960152,98.37232851511573,98.90115929835578,97.86857340521286,97.03720968000371,97.4337000306483,97.65057117963303
152,97.44523832699997,98.39277233248747,98.94111413503833,97.87976839417206,97.10846782112101,97.48940285281573,97.71090781973453
153,97.44523832699997,98.39277233248747,98.94111413503833,97.89332529813039,97.10846782112101,97.48940285281573,97.71090781973453
154,97.49161087514528,98.4097597920503,98.975121689154,97.90880568889173,97.17732976293334,97.54217206404465,97.76183041446302
155,97.49161087514528,98.4097597920503,98.975121689154,97.9228427381304,97.17732976293334,97.54217206404465,97.76183041446302
156,97.53107361550403,98.43141633092944,99.00798390597618,97.93682612524854,97.2389104795801,97.61219481846659,97.8152931562293
157,97.53107361550403,98.43141633092944,99.00798390597618,97.94956746958972,97.2389104795801,97.61219481846659,97.8152931562293
158,97.57340155389295,98.45200375107454,99.04063886736674,97.96202909014764,97.29732055005368,97.67654727708947,97.8594976785466
159,97.57340155389295,98.45200375107454,99.04063886736674,97.97439788726953,97.29732055005368,97.67654727708947,97.8594976785466
160,97.6206134389622,98.46906050369175,99.06907907585804,97.98456611661813,97.32081272031931,97.71856773566003,97.90105106835712
161,97.6206134389622,98.46906050369175,99.06907907585804,97.99402199486259,97.32081272031931,97.71856773566003,97.90105106835712
162,97.6649835171713,98.49006326989385,99.09886069286563,98.00399834057474,97.39037182539714,97.77362403885948,97.94694897547902
163,97.6649835171713,98.49006326989385,99.09886069286563,98.01462440400154,97.39037182539714,97.77362403885948,97.94694897547902
164,97.70340733613833,98.50876716650531,99.1250238828668,98.02605417366597,97.45837796559023,97.84116372389099,97.97819817327462
165,97.70340733613833,98.50876716650531,99.1250238828668,98.03673289315387,97.45837796559023,97.84116372389099,97.97819817327462
166,97.74332250315932,98.52816294589203,99.1481379757237,98.04581269642176,97.5120037929985,97.89056283354115,98.02941679548758
167,97.74332250315932,98.52816294589203,99.1481379757237,98.0555517148376,97.5120037929985,97.89056283354115,98.02941679548758
168,97.7887504018732,98.54252366985506,99.17219483703416,98.06389287267892,97.5640431394917,97.94883608661408,98.0615401712156
169,97.7887504018732,98.54252366985506,99.17219483703416,98.0740589438048,97.5640431394917,97.94883608661408,98.0615401712156
170,97.8350848088858,98.5648437935018,99.19350707634442,98.0837431403124,97.61634673769441,97.98975780435046,98.09983768906146
171,97.8350848088858,98.5648437935018,99.19350707634442,98.09444844688171,97.61634673769441,97.98975780435046,98.09983768906146
172,97.87878124949651,98.57582198679498,99.21453005324666,98.10050072091296,97.67082493040273,98.03201227835548,98.1407189294737
173,97.87878124949651,98.57582198679498,99.21453005324666,98.10954945609177,97.67082493040273,98.03201227835548,98.1407189294737
174,97.9134886385977,98.59375448885673,99.23419474804952,98.11756446567568,97.715806474679,98.0687220406855,98.17098632555206
175,97.9134886385977,98.59375448885673,99.23419474804952,98.1260861708946,97.715806474679,98.0687220406855,98.17098632555206
176,97.94923286379993,98.60849573430981,99.25374308686207,98.1357692606502,97.75718326573019,98.1062966047508,98.20308291609177
177,97.94923286379993,98.60849573430981,99.25374308686207,98.1439405714921,97.75718326573019,98.1062966047508,98.20308291609177
178,97.97856489082731,98.6202537162329,99.27031316445274,98.15294226068423,97.79199857255324,98.15173334393353,98.2390181358209
179,97.97856489082731,98.6202537162329,99.27031316445274,98.16248047287077,97.79199857255324,98.15173334393353,98.2390181358209
180,98.01121302052327,98.62449699280874,99.28756148253251,98.17213761436363,97.80325585139924,98.20445929160954,98.27216298087512
181,98.01121302052327,98.62449699280874,99.28756148253251,98.17813420272857,97.80325585139924,98.20445929160954,98.27216298087512
182,98.0533991886093,98.63630106387643,99.30356191643925,98.18447481439783,97.85013799028339,98.23058316522359,98.30864419406943
183,98.0533991886093,98.63630106387643,99.30356191643925,98.1921681869179,97.85013799028339,98.23058316522359,98.30864419406943
184,98.09159384614252,98.64664533517156,99.31989487195928,98.19982953025617,97.89039313500233,98.26545277677255,98.35579345417312
185,98.09159384614252,98.64664533517156,99.31989487195928,98.20798208929877,97.89039313500233,98.26545277677255,98.35579345417312
186,98.11821840031845,98.64661003303686,99.33368954660872,98.21640808417132,97.92717606304707,98.28767861136944,98.3862617708664
187,98.11821840031845,98.64661003303686,99.33368954660872,98.2231675044702,97.92717606304707,98.28767861136944,98.3862617708664
188,98.15076468854086,98.66377949435363,99.34686508936518,98.23104519037028,97.9614711755577,98.32021120710286,98.42799937199523
189,98.15076468854086,98.66377949435363,99.34686508936518,98.23861211277679,97.9614711755577,98.32021120710286,98.42799937199523
190,98.18851027908678,98.68089080743296,99.36165332129362,98.2464946344666,98.00179084936416,98.35123847875839,98.4616323360224
191,98.18851027908678,98.68089080743296,99.36165332129362,98.25307034445557,98.00179084936416,98.35123847875839,98.4616323360224
192,98.21511331671756,98.69101927392465,99.37492492621122,98.26115066747867,98.03355927416517,98.3806463326279,98.5080135664976
193,98.21511331671756,98.69101927392465,99.37492492621122,98.26934229585221,98.03355927416517,98.3806463326279,98.5080135664976
194,98.24756787724371,98.69837437603734,99.38680988409486,98.27787151780359,98.0616534935463,98.40848438815681,98.54774354196077
195,98.24756787724371,98.69837437603734,99.38680988409486,98.28372422327575,98.0616534935463,98.40848438815681,98.54774354196077
196,98.26602009263893,98.69671379444084,99.3970591106913,98.29129234979663,98.09725885283825,98.4342848798705,98.57553789729899
197,98.26602009263893,98.69671379444084,99.3970591106913,98.29892426946047,98.09725885283825,98.4342848798705,98.57553789729899
198,98.2954697553005,98.69795208859958,99.40894928685937,98.30436692665018,98.1296967017944,98.46694397146534,98.59840670301094
199,98.2954697553005,98.69795208859958,99.40894928685937,98.31096798197656,98.1296967017944,98.46694397146534,98.59840670301094
200,98.31610835626486,98.7160974921993,99.41867217298666,98.31716341541839,98.12672532518921,98.487944759747,98.62655328055257
201,98.31610835626486,98.7160974921993,99.41867217298666,98.32432409760698,98.12672532518921,98.487944759747,98.62655328055257
202,98.34056717917058,98.71723898631627,99.42874071797554,98.33085433970746,98.15690748365765,98.50693116699006,98.65099409947872
203,98.34056717917058,98.71723898631627,99.42874071797554,98.33584715222202,98.15690748365765,98.50693116699006,98.65099409947872
204,98.36701386150514,98.73767203283788,99.43770346844205,98.34120848007998,98.18743030168105,98.53795228483297,98.67736901167557
205,98.36701386150514,98.73767203283788,99.43770346844205,98.34668542272044,98.18743030168105,98.53795228483297,98.67736901167557
206,98.38670881466282,98.73973525395078,99.4462711893887,98.35243259082823,98.21189318458019,98.56481878233615,98.70366060033075
207,98.38670881466282,98.73973525395078,99.4462711893887,98.3571334081477,98.21189318458019,98.56481878233615,98.70366060033075
208,98.40849762608431,98.75589114972217,99.4536371662124,98.36338332729306,98.24554547125994,98.58830179279863,98.73073784275225
209,98.40849762608431,98.75589114972217,99.4536371662124,98.36925474796604,98.24554547125994,98.58830179279863,98.73073784275225
210,98.42590825864993,98.76154971755,99.46148106838521,98.37492704405267,98.26863359159184,98.61784308185395,98.73705734044246
211,98.42590825864993,98.76154971755,99.46148106838521,98.3809041693373,98.26863359159184,98.61784308185395,98.73705734044246
212,98.44537023451237,98.77738108704582,99.46949074020274,98.38686478754067,98.29276999752554,98.63476696369034,98.76155048323987
213,98.44537023451237,98.77738108704582,99.46949074020274,98.3913542248065,98.29276999752554,98.63476696369034,98.76155048323987
214,98.46875931860357,98.79246331708224,99.4770073496153,98.39523418383264,98.30756673782895,98.65850486979554,98.76690228218644
215,98.46875931860357,98.79246331708224,99.4770073496153,98.3998012380309,98.30756673782895,98.65850486979554,98.76690228218644
