,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//-RHC,data//output//runtimePerformance//NSGA2//SolutionSetSize200//-RHC
1,2.0,2.0
2,2.0,2.0
3,2.0,2.0
4,2.0,2.0
5,2.0,2.0
6,2.0,2.0
7,2.0,2.0
8,2.0,2.0
9,2.0,2.0
10,2.0,2.0
11,2.0,2.0
12,1.98,2.0
13,1.98,1.98
14,1.96,1.98
15,1.92,1.98
16,1.9,1.98
17,1.8,1.98
18,1.64,1.98
19,1.5,1.96
20,1.44,1.96
21,1.26,1.96
22,1.22,1.96
23,1.1,1.96
24,1.08,1.96
25,1.06,1.96
26,1.06,1.98
27,1.04,1.98
28,1.06,1.98
29,1.06,1.98
30,1.06,1.98
31,1.06,1.98
32,1.06,1.98
33,1.06,1.98
34,1.06,1.98
35,1.06,1.98
36,1.06,1.98
37,1.06,1.98
38,1.06,1.98
39,1.06,1.98
40,1.08,1.98
41,1.08,1.98
42,1.08,1.98
43,1.08,1.98
44,1.08,1.98
45,1.08,2.0
46,1.08,2.0
47,1.08,2.0
48,1.08,2.0
49,1.08,2.0
50,1.08,2.0
51,1.08,2.0
