Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
55,91.19798693952275,85.07320929849249,93.53917395686749,92.13113219768479
56,91.2967453893319,85.24419728065288,93.65246606794867,92.19311000716296
57,91.32201696620606,85.38409516172223,93.7465203948828,92.23062661913869
58,91.39972971993244,85.6660558365645,93.82543011298159,92.28033101889883
59,91.44124322598857,85.79816181333933,93.88961281178227,92.32739459916412
60,91.59746639434783,85.97834109477995,93.95236326893361,92.38322049682274
61,91.63975721742304,86.13535423492827,94.02531456868427,92.42492395849773
62,91.75277156177746,86.32606909648622,94.09493607127645,92.45549579521322
63,91.78250908436877,86.43250041700223,94.1498915763088,92.49018618837289
64,91.8865095035717,86.73229580222583,94.22486092972498,92.52486685593792
65,91.93605795589446,86.82375699307538,94.29671485440466,92.54477517090571
66,92.02513397057393,87.04893351412034,94.3413260277148,92.5656617748964
67,92.05865193049061,87.15745931531634,94.3917181309034,92.59573748901305
68,92.16486081698773,87.31248328366871,94.44661474005977,92.62802902384367
69,92.21244359360351,87.53111400419385,94.47765544375171,92.66326690833704
70,92.32068490286993,87.71936411689437,94.52173581616701,92.69093940973056
71,92.34689478297193,87.80448489673728,94.54845941601263,92.70952474367351
72,92.42487446766629,87.99823016329796,94.59007842381261,92.73273117612258
73,92.45242266478921,88.09138961533803,94.6313673885237,92.76321313332942
74,92.52649060630033,88.18993304270246,94.66092640576964,92.78387255115305
75,92.56796354339903,88.27158635214107,94.70560301050108,92.79852663212327
76,92.60929451457089,88.46598080417557,94.73027560959993,92.82083802861294
77,92.6337243862823,88.56113000686355,94.77740328180457,92.8393807965562
78,92.7077177474306,88.65150432851374,94.80148628464205,92.85323746051077
79,92.73703795793013,88.71837707085983,94.83657090955347,92.86532730760995
80,92.7854567069033,88.88628521064939,94.89588653373943,92.87951121191685
81,92.82389626575764,89.01529811887764,94.91424276029039,92.8977791776164
82,92.8544214371963,89.21034852036546,94.9459953773886,92.91436497988475
83,92.87806506317752,89.28012687529612,94.95995421651708,92.93798916780783
84,92.9443256144941,89.38002104958153,94.98955261689953,92.95779866380168
85,92.96203018653648,89.42792677378416,95.01264848710684,92.97041437036602
86,93.01055089450334,89.55576356379187,95.03981111487441,92.97851614192093
87,93.02362862511137,89.60576566338439,95.07643811268356,92.99451165050364
88,93.06951194936245,89.73192325810555,95.09862084779088,93.00777247648541
89,93.0788321549258,89.77226258884751,95.12347925637292,93.01715850331654
90,93.1228328537778,89.87019613220102,95.1549078722272,93.02655557293559
91,93.13470707831624,90.01294282388515,95.18136112466047,93.03897118175873
92,93.18199087246515,90.10282678097921,95.20873683416764,93.04987169413987
93,93.19644164275563,90.17738010845615,95.23558689232654,93.06267884121792
94,93.24843538684632,90.28687364792573,95.2533108216033,93.07407806701559
95,93.26441318487771,90.33443642878923,95.27023929030865,93.08845262889076
96,93.31689748291349,90.42472253512011,95.2981505927159,93.09820034285438
97,93.34833610085747,90.44958710189195,95.31509879850927,93.1098328564809
98,93.36756831106918,90.51740548419656,95.33900468762153,93.11781441668863
99,93.37762294362103,90.56075598658347,95.35896649807107,93.12864593987057
100,93.43625680728384,90.62031170431324,95.3898341628832,93.13539621293597
101,93.45790742638316,90.64838338402167,95.42011102189062,93.14108500409054
102,93.49069832141274,90.7184961016761,95.43946094904464,93.14811420579511
103,93.50616701243237,90.77254175694186,95.46871925072097,93.15213700919276
104,93.53158573907511,90.85730882035946,95.48076390218206,93.15933249461092
105,93.54150023909762,90.88178569050109,95.49280911751123,93.16243573365779
106,93.56239861830593,90.91921563089265,95.51041234117618,93.1707937663042
107,93.5768270424664,90.98953872421377,95.52696921812718,93.17663472520903
108,93.64136460107996,91.0474411586703,95.53802798295318,93.18192062923337
109,93.66096714645357,91.09786699870102,95.54853532918939,93.18514213275192
110,93.69557520641592,91.14976397767123,95.560912242185,93.18936310724787
111,93.71367103489163,91.1993794205515,95.57069039264563,93.19873444550204
112,93.72922573021476,91.27167541158,95.57925191561293,93.20678039159623
113,93.73956070846558,91.28806792995236,95.58917274239336,93.21145096618368
114,93.77573101539377,91.34631481751667,95.59902137678016,93.21579198001488
115,93.78345859160645,91.36928824605866,95.61039896190306,93.22321210206483
116,93.81873999406731,91.41093114902834,95.6315574738441,93.22626201812501
117,93.83122969041784,91.41994510395257,95.64856042242928,93.2315126110469
118,93.86700265395973,91.478364970521,95.67008188616168,93.23539078034914
119,93.88572899923675,91.50727951696581,95.682010012952,93.2381428712501
120,93.93100993831197,91.57296029695682,95.68885162621278,93.24119864524077
121,93.94026397147351,91.60429757212756,95.69990825644302,93.24394301345424
122,93.9673541241678,91.67425932861144,95.70749781165465,93.24879931511109
123,93.97540060350994,91.69479003064797,95.71506203008144,93.25281072163169
124,93.99652006109724,91.73894831208462,95.72214902812523,93.25658746544774
125,94.0149181316382,91.74549457750174,95.73596654909599,93.26000297719766
126,94.05336377287767,91.84371720619966,95.74972136019079,93.2619663458567
127,94.07318937695376,91.86115444593968,95.76568776535083,93.26751953135447
128,94.10857948142723,91.90625120425535,95.776003089686,93.27122475687251
129,94.1121133675832,91.9112490284154,95.786092603232,93.27429778520386
130,94.12902627537379,91.94562323774286,95.79197578112668,93.28203767161008
131,94.1363627841321,91.96684515910098,95.79848450811173,93.28497720873028
132,94.16195977802035,92.0086707148537,95.80984989150346,93.28693715615343
133,94.16543983759493,92.0257801164036,95.81979590452998,93.28917426803706
134,94.17871483340731,92.0909122865852,95.8260574141909,93.29342118398917
135,94.18997094222185,92.09973451983794,95.83284686608056,93.2994213855267
136,94.22454548396429,92.13035406919602,95.84426011434184,93.30283238879922
137,94.22909659141622,92.15224789940267,95.85109958937574,93.30729106111251
138,94.2552737773567,92.1936148247893,95.85710678979116,93.31020925806232
139,94.2657838176793,92.21525283320553,95.87523882191151,93.31282577257636
140,94.28013881873514,92.2529568242378,95.88288582397142,93.31619527553104
141,94.2941661307754,92.28249605852552,95.88706367732755,93.32344982576979
142,94.30719714415261,92.34479868939535,95.89445231756791,93.32492284037897
143,94.31317362084279,92.37371019675072,95.90042410357584,93.32666059251868
144,94.3303235567937,92.39778488356878,95.91105019468077,93.32872953085389
145,94.34112352316802,92.41413115755824,95.91712412075985,93.33163208572448
146,94.38418968086803,92.4560941495721,95.92426595322515,93.33548788055123
147,94.38889078303029,92.48731194865972,95.94011904689737,93.33955496793301
148,94.39650805441998,92.5165520853715,95.95131281216119,93.34431172037914
149,94.41266906402144,92.54277358206735,95.95543633546134,93.34755271642561
150,94.4307375134519,92.58144659801978,95.96174024743438,93.35338127043113
151,94.43386670241202,92.598757966141,95.97145849179765,93.3575217064493
152,94.450554784996,92.63571476790588,95.98145593090015,93.3607739698476
153,94.45689079731325,92.64240605436136,95.98755681599933,93.36185362969914
154,94.47537605854137,92.68685828953087,95.99395867069327,93.36476501518136
155,94.48328106400515,92.6951326564846,96.0009049058624,93.36635152230812
156,94.49352026968607,92.71281440991851,96.007342255603,93.3679830253653
157,94.49708553870313,92.72618267699573,96.01011470252334,93.36885939935642
158,94.51299722241001,92.7715878823888,96.01542709285377,93.37067588824435
159,94.52182227766049,92.77936699974471,96.01879966592269,93.3713779804308
160,94.54315221620499,92.81646411973915,96.02315967175939,93.37182625638881
161,94.54735062175314,92.8210373489774,96.0280158802438,93.37591166643658
162,94.55174452360899,92.86518088385083,96.03240717496891,93.37710867481503
163,94.55664740576337,92.87473943334085,96.03620596765683,93.37900932248826
164,94.56461334070283,92.88847577340682,96.04251290798943,93.38007638015459
165,94.57535377740352,92.90022883289633,96.04500522454954,93.3870201682568
