Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
33,98.42150442371931,97.59958183259407,94.44827033007545,91.86782654638661,89.31687544950414,86.56650024386309
34,98.45671173092819,97.72098746318248,94.96980692309846,91.86782654638661,89.31687544950414,86.56650024386309
35,98.49318176105184,97.83274390195122,94.96980692309846,91.86782654638661,89.31687544950414,88.27320504591792
36,98.52881699140217,97.94136495107324,95.3998938408888,92.75798707744313,90.62875249145499,88.27320504591792
37,98.56192863966174,98.04248675270094,95.3998938408888,92.75798707744313,90.62875249145499,88.27320504591792
38,98.59711600481087,98.13466368079432,95.84942142287322,92.75798707744313,90.62875249145499,88.27320504591792
39,98.61584850547884,98.21378977897172,95.84942142287322,93.4907261210874,90.62875249145499,88.27320504591792
40,98.63974312733268,98.28283208843028,96.2083570505718,93.4907261210874,91.72397408018166,89.76261062291239
41,98.66670924933037,98.35188629869603,96.2083570505718,93.4907261210874,91.72397408018166,89.76261062291239
42,98.68710255755987,98.41188285694535,96.5209998071323,94.14785094475697,91.72397408018166,89.76261062291239
43,98.71330789506585,98.47367569662278,96.5209998071323,94.14785094475697,91.72397408018166,89.76261062291239
44,98.72880088303286,98.52527268728868,96.78972206567079,94.14785094475697,92.6532560511556,89.76261062291239
45,98.74276468594594,98.57900239888707,96.78972206567079,94.76910744134915,92.6532560511556,90.95556747775784
46,98.76489831450408,98.62929962450944,97.03110864167063,94.76910744134915,92.6532560511556,90.95556747775784
47,98.78469549048236,98.6729515860651,97.03110864167063,94.76910744134915,92.6532560511556,90.95556747775784
48,98.79269084012567,98.7121269546796,97.2519122216011,95.26342179099913,93.44322542138835,90.95556747775784
49,98.80524254694731,98.75425329341924,97.2519122216011,95.26342179099913,93.44322542138835,90.95556747775784
50,98.81771188009853,98.78689853355513,97.44292436664132,95.26342179099913,93.44322542138835,92.0048879389507
51,98.83333935498409,98.82034969528948,97.44292436664132,95.69512322342999,93.44322542138835,92.0048879389507
52,98.84434536558823,98.85119225158675,97.62435675418516,95.69512322342999,94.09111704153878,92.0048879389507
53,98.85613873138792,98.87878684602903,97.62435675418516,95.69512322342999,94.09111704153878,92.0048879389507
54,98.86427412969866,98.90503036237864,97.78115607288909,96.10104076958127,94.09111704153878,92.0048879389507
55,98.86872594125617,98.93029031495294,97.78115607288909,96.10104076958127,94.09111704153878,92.89610999781371
56,98.87768149851789,98.95119810300397,97.93076119327912,96.10104076958127,94.6635896820981,92.89610999781371
57,98.89282056249306,98.96908392737535,97.93076119327912,96.43144282649638,94.6635896820981,92.89610999781371
58,98.90042959027366,98.99001749886997,98.06129234505434,96.43144282649638,94.6635896820981,92.89610999781371
59,98.90906559546062,99.006445623754,98.06129234505434,96.43144282649638,94.6635896820981,92.89610999781371
60,98.91818141767503,99.02354819753286,98.18695206680864,96.73689815006927,95.24328911797679,93.6687447729257
61,98.91694113587931,99.04065692600842,98.18695206680864,96.73689815006927,95.24328911797679,93.6687447729257
62,98.92815694126347,99.0586431751672,98.2960148644092,96.73689815006927,95.24328911797679,93.6687447729257
63,98.93797794426591,99.0735184780896,98.2960148644092,97.00676375431341,95.24328911797679,93.6687447729257
64,98.94845493408167,99.08784183789224,98.39954139376704,97.00676375431341,95.72971443694476,93.6687447729257
65,98.95240467714333,99.10307601632172,98.39954139376704,97.00676375431341,95.72971443694476,94.36126399686724
66,98.95797717392513,99.1139310692192,98.49244100338274,97.24414267973427,95.72971443694476,94.36126399686724
67,98.9637186931154,99.12551177647731,98.49244100338274,97.24414267973427,95.72971443694476,94.36126399686724
68,98.96845588771197,99.13789606707883,98.57709120866534,97.24414267973427,96.14404816130057,94.36126399686724
69,98.97936514727265,99.1511433764594,98.57709120866534,97.47684015636558,96.14404816130057,94.36126399686724
70,98.98359793309511,99.16261040405705,98.6576530808251,97.47684015636558,96.14404816130057,94.93452969390468
71,98.98964616360264,99.17424411156796,98.6576530808251,97.47684015636558,96.14404816130057,94.93452969390468
72,98.99070067199972,99.1843465088056,98.72523368679767,97.67603829436091,96.50476803180426,94.93452969390468
73,99.00413565928758,99.19418903337511,98.72523368679767,97.67603829436091,96.50476803180426,94.93452969390468
74,99.00394951531713,99.20471203375907,98.79408603495673,97.67603829436091,96.50476803180426,94.93452969390468
75,99.00864109799103,99.21254728695311,98.79408603495673,97.85274555315844,96.50476803180426,95.45073836935782
76,99.01322905940722,99.22004018996813,98.85962465059058,97.85274555315844,96.8165998601185,95.45073836935782
77,99.01935450952584,99.22754574581766,98.85962465059058,97.85274555315844,96.8165998601185,95.45073836935782
78,99.02457663571568,99.2333320269858,98.91819664439782,98.03028714182385,96.8165998601185,95.45073836935782
79,99.0267027279843,99.24065833885831,98.91819664439782,98.03028714182385,96.8165998601185,95.45073836935782
80,99.02652517836924,99.24853649257257,98.97597017611368,98.03028714182385,97.11929515683882,95.91663777825677
81,99.03099647825016,99.25438520216285,98.97597017611368,98.16705331214298,97.11929515683882,95.91663777825677
82,99.03912609683333,99.25980599926793,99.02398622449195,98.16705331214298,97.11929515683882,95.91663777825677
83,99.04077185596314,99.2645237220793,99.02398622449195,98.16705331214298,97.11929515683882,95.91663777825677
