Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.013789310910436111,0.36934517324030147
15,0.0,0.0,0.0,0.0,0.0,0.013789310910436111,0.36934517324030147
16,0.0,0.047355074619679235,0.0,0.0,0.0,0.3105934478596591,1.088529779994096
17,0.0,0.047355074619679235,0.0,0.0,0.0,0.3105934478596591,1.088529779994096
18,0.005754167754598627,0.04838942047834916,0.0,0.0,0.0,0.7637871472395643,2.6390538013509106
19,0.005754167754598627,0.04838942047834916,0.0,0.024001481358571317,0.0,0.7637871472395643,2.6390538013509106
20,0.03546594211199955,0.12560244272555351,0.0,0.024001481358571317,0.04821194742256925,1.7101329160318912,6.489315209503002
21,0.03546594211199955,0.12560244272555351,0.0,0.04408906204877945,0.04821194742256925,1.7101329160318912,6.489315209503002
22,0.19896734553691203,0.46722999504676094,0.0,0.3316980778678145,0.11735597228105009,2.8445351371185947,10.407156318104082
23,0.19896734553691203,0.46722999504676094,0.0,0.45612534241434904,0.11735597228105009,2.8445351371185947,10.407156318104082
