Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
0,0.027531991808320645,0.0378471867398702,0.043994038845759614,0.12448620865150249,0.13340226886208692,0.07874218072777463
1,0.17106153814126265,0.0378471867398702,0.043994038845759614,0.12448620865150249,0.13340226886208692,0.07874218072777463
2,0.3781242438972715,0.11920461464250148,0.046484569969633904,0.12448620865150249,0.13340226886208692,0.07874218072777463
3,0.9304720937633284,0.1885528858887428,0.046484569969633904,0.18472828943054373,0.13340226886208692,0.07874218072777463
4,2.4336222252166815,0.262216750609194,0.1162006052502576,0.18472828943054373,0.16287465034738935,0.07874218072777463
5,5.173580815681917,0.481931730501682,0.1162006052502576,0.18472828943054373,0.16287465034738935,0.08503143429398224
6,9.81283254480774,1.0853486779356007,0.2856882592118437,0.21321859055695014,0.16287465034738935,0.08503143429398224
7,15.852621719742297,2.554193254026008,0.2856882592118437,0.21321859055695014,0.16287465034738935,0.08503143429398224
8,24.289970706362382,3.7714110519407247,0.456417362539723,0.21321859055695014,0.20431298023360756,0.08503143429398224
9,31.71750387879001,5.801202453258565,0.456417362539723,0.26997929686140276,0.20431298023360756,0.08503143429398224
10,38.971281710362895,8.476255636016619,0.7982204745801149,0.26997929686140276,0.20431298023360756,0.2236809721355283
11,45.63023919079891,12.741248654493953,0.7982204745801149,0.26997929686140276,0.20431298023360756,0.2236809721355283
12,50.79681921015449,17.988543188569075,2.1127175563110585,0.4827214218696238,0.4930741492909435,0.2236809721355283
13,55.56832219915102,22.53136980641818,2.1127175563110585,0.4827214218696238,0.4930741492909435,0.2236809721355283
14,58.753341874353445,27.388754695599143,3.6332055941480554,0.4827214218696238,0.4930741492909435,0.2236809721355283
15,61.038994414035464,32.063795400869736,3.6332055941480554,1.0499004734710822,0.4930741492909435,0.4378863453651103
16,63.1823267034026,37.569125894308996,5.810551096615334,1.0499004734710822,1.0023425183781305,0.4378863453651103
17,64.75336760657238,42.95396437195243,5.810551096615334,1.0499004734710822,1.0023425183781305,0.4378863453651103
18,65.98534350028363,47.845545982564154,8.812421757565108,2.50256140815351,1.0023425183781305,0.4378863453651103
19,67.38856978335674,52.673659163251784,8.812421757565108,2.50256140815351,1.0023425183781305,0.4378863453651103
20,68.64438276163119,56.43641859391344,11.906945224415807,2.50256140815351,2.117562183381303,1.0380436859057836
