Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,39.393846955824436,39.38027066243741
1,39.56706480107023,39.62737244607576
2,39.66409832163487,39.730901331767306
3,39.74641673305266,39.78921373435446
4,39.86878588214992,39.84424613344555
5,39.94572767300966,39.91706716850255
6,40.07794211460322,39.98878721628646
7,40.15144975128613,40.09758945315357
8,40.25794201882889,40.23591662667085
9,40.343201558552515,40.38224721064873
10,40.4314470201667,40.52369405163394
11,40.503362026202105,40.63172767287878
12,40.58142951731266,40.76829715367977
13,40.68078349841076,40.88485131562678
14,40.76687201423821,41.03382464660256
15,40.83154800017509,41.1820062219783
16,40.92339760422125,41.29537907862385
17,40.97797570719909,41.455192040789406
18,41.05261403323121,41.64473849040266
19,41.137133207547556,41.84207439375067
20,41.23092557695795,42.04507052181497
21,41.32993093179223,42.28553767301387
22,41.422966250449555,42.59266243960755
23,41.487778576228614,42.89570494438304
24,41.627047589648456,43.15649525442658
25,41.715662602737126,43.387340134068104
26,41.84970738545648,43.70651559086532
27,41.94661372887687,43.99458167054982
28,42.0874845685238,44.39794102247875
29,42.1682597808123,44.76049059877377
30,42.287500632440846,45.2977217418784
31,42.372199597028796,45.71716578715453
32,42.55093585358174,46.11592204019531
33,42.65525323481811,46.5994390937377
34,42.83143665055154,47.07981859645796
35,42.97745171361918,47.585594219762235
36,43.11504528535755,48.169251143359986
37,43.24970872581923,48.84370459422659
38,43.47101077555491,49.347742596695916
39,43.59335167235129,49.804431737967704
40,43.78872725540301,50.40137226015866
41,43.87163919522856,51.01164584185815
42,44.080350431877804,51.70203335362812
43,44.21945427582496,52.199863831648294
44,44.46437271016804,52.688854353639655
45,44.61502031063164,53.397370153006484
46,44.84764814260999,53.95871306729965
47,45.08649895287859,54.65727311089672
48,45.40346563985112,55.1617065582309
49,45.60430729673285,55.782244326219256
50,45.916022135827326,56.44770200403404
51,46.05592324262075,57.06706818917742
52,46.35087920712353,57.6941413315988
53,46.54492018501828,58.23599197342288
54,46.839152021477524,59.02100603586624
55,47.00280385374315,59.44530363757355
56,47.35064535888582,60.12985098653856
57,47.591459076293695,60.7330711335087
58,47.8174196694606,61.425706520584946
59,48.019105815959044,61.94277164966496
60,48.37716298300432,62.58891659560754
61,48.644979847166574,63.13114564435527
62,49.006436096514655,63.679297589734674
63,49.15759572100704,64.31221660880531
64,49.44857101209016,64.82353144042125
65,49.66228538094071,65.57609358633117
66,49.92778115623885,66.14055374141421
67,50.14936920280098,66.58920780692723
68,50.47326017384539,67.14259410382196
69,50.676562124459615,67.93715543292059
70,51.159603163181174,68.44933026128167
71,51.402987345385384,68.91384372248645
72,51.65143144224451,69.37643380701763
73,51.861308616448795,69.87346340420814
74,52.13165893148709,70.27902500912535
75,52.47800033099714,70.6827352303827
76,52.801000295396086,71.24810618432554
77,53.03915364675995,71.69229796961544
78,53.32415276710301,71.99786009118029
79,53.51824346242184,72.45926308341534
80,53.893595343921355,72.87981286644995
81,54.11782536306211,73.20953855663842
82,54.479321534243184,73.66092164000254
83,54.6960572012708,74.09130526217804
84,54.962927522481166,74.41693578407448
85,55.158446743298825,74.72564672312576
86,55.46704262448107,75.15687835270302
87,55.58178279631271,75.46812314909748
88,55.81511979531392,75.76988059949687
89,56.03398577683903,76.18955526680328
90,56.26154015306011,76.59395101967822
91,56.40289352708323,76.815783722673
92,56.67847603970192,77.07380575583811
93,56.903105877102924,77.31742231318813
94,57.13100889309962,77.64569060934893
95,57.30019892428007,77.92600639250351
96,57.58902313911013,78.1754782936802
97,57.730126367344205,78.43825266837521
98,57.970491867222954,78.66228242002737
99,58.17394690566409,78.96013454690363
100,58.341467365537014,79.20367194138042
101,58.49329286384041,79.48019270539928
102,58.72939926580496,79.72757482621795
103,58.86663056068265,80.01760832592566
104,59.096251143423494,80.21443668187882
105,59.3277576491669,80.42119729265629
106,59.50847543248441,80.63122787292087
107,59.60907993474219,80.82812071073512
108,59.93066244443352,81.06896210199238
109,60.10093218243435,81.21196118762285
110,60.295515803256365,81.3766059560135
111,60.45036168590685,81.55321080896627
112,60.62837302448002,81.69234123239585
113,60.87981243970408,81.88248917509337
114,61.08056523560108,82.02104117558619
115,61.18096674587326,82.18057134389825
116,61.336513530403224,82.32888192382369
117,61.492524427311245,82.47963074904243
118,61.71891359456253,82.5991118975904
119,61.91265854526375,82.74581963291607
120,62.09350964469559,82.82103749086431
121,62.20609383382143,82.90854203281334
122,62.33471662722438,83.01935075069338
123,62.43891602193883,83.18642645171472
124,62.637144809766895,83.28359938232697
125,62.81112447529213,83.41512002039069
126,62.952753452862275,83.53281511425698
127,63.06605347065018,83.66489957251329
128,63.21166732503599,83.78654941291785
129,63.29900333413113,83.92833119249575
130,63.45210494496622,84.02360929301634
131,63.58427855737215,84.11854731808523
132,63.75490039910292,84.21534040609981
133,63.84508887366579,84.32996616498677
134,63.971802994348906,84.41172701924468
135,64.07076637285586,84.50617643802921
136,64.187990367045,84.57750600331767
137,64.28250629981204,84.65527932838552
138,64.36287907404048,84.72012885245762
139,64.46017924505789,84.80354057815771
140,64.53946946082165,84.87082766924514
141,64.59326082257664,84.96724009628949
142,64.69167693777163,85.0345539928706
143,64.78909511801847,85.11834266711647
144,64.9109430578709,85.18374939431315
145,65.02961444615934,85.23841824601512
146,65.14965268687342,85.28815794945407
147,65.27633195005907,85.35728367102723
148,65.33933360062977,85.43659467329412
149,65.38426827164804,85.51355360303121
150,65.47232024230185,85.55846090568
151,65.52858546737687,85.60216189361732
152,65.61245271191979,85.66322248695272
153,65.68098911628559,85.71341968177309
154,65.80164107315376,85.75418664324417
155,65.90393669948106,85.80199922435526
156,66.00276915966954,85.83230690809324
157,66.0932465522134,85.87803584545871
158,66.17900302495087,85.92420800415422
159,66.25664056489308,85.96759073357725
160,66.31908851836022,86.00740089757875
161,66.408497919436,86.04845115787114
162,66.46769806712214,86.09971156124813
163,66.54702972264016,86.12485295128147
164,66.62624687318231,86.15601165787626
165,66.70571549810914,86.1894028454128
166,66.77950471027242,86.22939498473187
167,66.83226026377147,86.27094398603454
168,66.94232092697263,86.29908643625419
169,66.96991331629097,86.33818377988781
170,67.0552846339445,86.37488364671923
171,67.1424371493893,86.40003130113415
172,67.19088947291762,86.42035712812316
