,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//-RHC,data//output//runtimePerformance//GDE3//SolutionSetSize200//-RHC,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//-RHC,data//output//runtimePerformance//NSGA2//SolutionSetSize200//-RHC
1,3.9383333333333335,3.9391666666666665,3.9266666666666667,3.9483333333333333
2,2.5541666666666667,3.9908333333333332,3.4158333333333335,3.3041666666666667
3,2.4075,3.9683333333333333,2.9608333333333334,2.984166666666667
4,2.53,3.933333333333333,2.985,2.743333333333333
5,2.705,3.901666666666667,2.9983333333333335,2.598333333333333
6,2.8266666666666667,3.8825,2.970833333333333,2.4808333333333334
7,2.924166666666667,3.8775,2.910833333333333,2.4516666666666667
8,2.9991666666666665,3.8766666666666665,2.8641666666666667,2.4783333333333335
9,3.0525,3.88,2.8125,2.5091666666666668
10,3.0933333333333333,3.8775,2.7866666666666666,2.5325
11,3.1425,3.875,2.7625,2.578333333333333
12,3.1925,3.875,2.7483333333333335,2.6258333333333335
13,3.22,3.879166666666667,2.7258333333333336,2.6591666666666667
14,3.245833333333333,3.88,2.715,2.6958333333333333
15,3.2733333333333334,3.879166666666667,2.7016666666666667,2.7241666666666666
16,3.2925,3.8666666666666667,2.7125,2.754166666666667
17,3.3116666666666665,3.8608333333333333,2.71,2.7716666666666665
18,3.3291666666666666,3.855,2.7091666666666665,2.7925
19,3.3333333333333335,3.85,2.7158333333333333,2.8075
20,3.35,3.845833333333333,2.7175,2.819166666666667
21,3.3625,3.845833333333333,2.7333333333333334,2.8308333333333335
22,3.37,3.8425,2.7425,2.839166666666667
23,3.3783333333333334,3.84,2.743333333333333,2.8366666666666664
24,3.379166666666667,3.841666666666667,2.7416666666666667,2.835
25,3.3858333333333333,3.8408333333333333,2.7483333333333335,2.8433333333333333
26,3.3925,3.8441666666666667,2.7558333333333334,2.8466666666666667
27,3.3975,3.839166666666667,2.765,2.8533333333333335
28,3.408333333333333,3.8341666666666665,2.7716666666666665,2.8625
29,3.4166666666666665,3.8341666666666665,2.7775,2.87
30,3.4175,3.8291666666666666,2.785,2.868333333333333
31,3.4175,3.8291666666666666,2.785,2.8691666666666666
32,3.421666666666667,3.83,2.7925,2.870833333333333
33,3.4191666666666665,3.8241666666666667,2.7975,2.8733333333333335
34,3.42,3.8183333333333334,2.8041666666666667,2.8725
35,3.4225,3.8158333333333334,2.808333333333333,2.8733333333333335
36,3.425,3.8141666666666665,2.8125,2.8775
37,3.4266666666666667,3.8158333333333334,2.8125,2.8766666666666665
38,3.4275,3.8125,2.8175,2.875
39,3.4291666666666667,3.808333333333333,2.8233333333333333,2.88
40,3.4283333333333332,3.8075,2.8225,2.8758333333333335
41,3.4325,3.8041666666666667,2.8358333333333334,2.881666666666667
42,3.4325,3.8025,2.8441666666666667,2.881666666666667
43,3.4366666666666665,3.8,2.8491666666666666,2.8841666666666668
44,3.435,3.8008333333333333,2.8516666666666666,2.885
45,3.4341666666666666,3.795,2.8583333333333334,2.881666666666667
46,3.4366666666666665,3.7983333333333333,2.8716666666666666,2.8858333333333333
47,3.4366666666666665,3.7933333333333334,2.8741666666666665,2.885
48,3.4358333333333335,3.7908333333333335,2.8783333333333334,2.8875
49,3.435,3.7891666666666666,2.8808333333333334,2.8833333333333333
50,3.435,3.7883333333333336,2.8875,2.885
51,3.4366666666666665,3.7866666666666666,2.890833333333333,2.8841666666666668
