Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//SPEA2//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
51,63.06420350902946,77.28687673777767,82.53213442766192,64.6172907786674,60.71179286984463,76.47261046852407,91.41384568255876
52,63.06420350902946,77.28687673777767,82.53213442766192,64.6172907786674,60.71179286984463,76.47261046852407,91.62989440487027
53,63.06420350902946,77.28687673777767,82.53213442766192,64.6172907786674,60.71179286984463,76.47261046852407,91.858633550491
54,66.57956060883969,79.73281830160134,84.18838016007507,67.84958717274753,64.18981543842169,79.2355077392872,92.06737709862395
55,66.57956060883969,79.73281830160134,84.18838016007507,67.84958717274753,64.18981543842169,79.2355077392872,92.259869705628
56,66.57956060883969,79.73281830160134,84.18838016007507,67.84958717274753,64.18981543842169,79.2355077392872,92.4601190549026
57,69.62120830270779,81.78223401992292,85.49335413010083,70.87784692330894,67.24685346356483,81.76916033692969,92.65639628559428
58,69.62120830270779,81.78223401992292,85.49335413010083,70.87784692330894,67.24685346356483,81.76916033692969,92.82108995148847
59,69.62120830270779,81.78223401992292,85.49335413010083,70.87784692330894,67.24685346356483,81.76916033692969,92.97289994063287
60,72.436435080848,83.34120291428194,86.66118782829645,73.57750019186267,70.09290668494035,83.87556207747446,93.1316457908907
61,72.436435080848,83.34120291428194,86.66118782829645,73.57750019186267,70.09290668494035,83.87556207747446,93.27060950742518
62,72.436435080848,83.34120291428194,86.66118782829645,73.57750019186267,70.09290668494035,83.87556207747446,93.4179161353259
63,74.92768664830778,84.80333401357574,87.6777522822859,76.09647451146722,72.91457556171358,85.69226862763126,93.55477418642984
64,74.92768664830778,84.80333401357574,87.6777522822859,76.09647451146722,72.91457556171358,85.69226862763126,93.69882871135907
65,74.92768664830778,84.80333401357574,87.6777522822859,76.09647451146722,72.91457556171358,85.69226862763126,93.81740727155102
66,76.9998777076443,85.99799290295036,88.57040732767875,78.34563811552012,75.48482500407354,87.31389882140782,93.92638111214917
67,76.9998777076443,85.99799290295036,88.57040732767875,78.34563811552012,75.48482500407354,87.31389882140782,94.02858668121732
68,76.9998777076443,85.99799290295036,88.57040732767875,78.34563811552012,75.48482500407354,87.31389882140782,94.14462433992188
69,78.9349492847154,87.10432080041771,89.40916435501782,80.37543200347665,77.78511854835168,88.75889164046059,94.25677032302033
70,78.9349492847154,87.10432080041771,89.40916435501782,80.37543200347665,77.78511854835168,88.75889164046059,94.34979297835581
71,78.9349492847154,87.10432080041771,89.40916435501782,80.37543200347665,77.78511854835168,88.75889164046059,94.43290559745616
72,80.58568928555125,87.98301254940496,90.08317922911812,82.16673140213496,79.88651113108233,90.02172731130007,94.51371592898019
73,80.58568928555125,87.98301254940496,90.08317922911812,82.16673140213496,79.88651113108233,90.02172731130007,94.58586340690718
74,80.58568928555125,87.98301254940496,90.08317922911812,82.16673140213496,79.88651113108233,90.02172731130007,94.66102849889357
75,82.26309481185059,88.86077277565497,90.66330607573258,83.84448717213296,81.68493447506555,91.12174403886348,94.7350006028013
76,82.26309481185059,88.86077277565497,90.66330607573258,83.84448717213296,81.68493447506555,91.12174403886348,94.80602043097151
77,82.26309481185059,88.86077277565497,90.66330607573258,83.84448717213296,81.68493447506555,91.12174403886348,94.88146747405371
78,83.76178935245561,89.57372645790403,91.2140478540284,85.26686071462692,83.46085641124617,92.08658075292497,94.95277809005806
79,83.76178935245561,89.57372645790403,91.2140478540284,85.26686071462692,83.46085641124617,92.08658075292497,95.01431629534183
80,83.76178935245561,89.57372645790403,91.2140478540284,85.26686071462692,83.46085641124617,92.08658075292497,95.08454494166028
81,85.07842696539856,90.32340044144762,91.72595299168968,86.66822297920797,85.01420969053561,92.87692018054605,95.14036907501871
82,85.07842696539856,90.32340044144762,91.72595299168968,86.66822297920797,85.01420969053561,92.87692018054605,95.19602937097706
83,85.07842696539856,90.32340044144762,91.72595299168968,86.66822297920797,85.01420969053561,92.87692018054605,95.24333459021027
84,86.11521935570279,90.90166599077484,92.18281320750187,87.73225268141309,86.45872313262396,93.5462770707723,95.2914100355152
85,86.11521935570279,90.90166599077484,92.18281320750187,87.73225268141309,86.45872313262396,93.5462770707723,95.3405503292954
86,86.11521935570279,90.90166599077484,92.18281320750187,87.73225268141309,86.45872313262396,93.5462770707723,95.39286635337251
87,87.05152717584865,91.45656379347548,92.57631035554412,88.75752758652446,87.70151392777647,94.15992133488578,95.44012907244993
88,87.05152717584865,91.45656379347548,92.57631035554412,88.75752758652446,87.70151392777647,94.15992133488578,95.48436254193918
89,87.05152717584865,91.45656379347548,92.57631035554412,88.75752758652446,87.70151392777647,94.15992133488578,95.5379724931751
90,87.86817520963298,91.98637202557254,92.9505951149605,89.66156749323368,88.78175067024154,94.69508721535549,95.57766783547333
91,87.86817520963298,91.98637202557254,92.9505951149605,89.66156749323368,88.78175067024154,94.69508721535549,95.61569309185236
92,87.86817520963298,91.98637202557254,92.9505951149605,89.66156749323368,88.78175067024154,94.69508721535549,95.65353473335959
93,88.80155132856089,92.48488475106878,93.2937463219185,90.45438499349245,89.75970992971826,95.13219521034733,95.69092255370103
