Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.00538892493764408,0.016344138966195198,0.0,0.035485920362333084,0.005430931667100793,0.05933924297822612,0.0
1,0.00538892493764408,0.016344138966195198,0.0,0.035485920362333084,0.005430931667100793,0.05933924297822612,0.0
2,0.00538892493764408,0.20111723576920645,0.038532095580799806,0.035485920362333084,0.17440766773172448,0.0647331213437814,0.022600114837660445
3,0.00538892493764408,0.20111723576920645,0.038532095580799806,0.3483128334652659,0.17440766773172448,0.0647331213437814,0.022600114837660445
4,0.016407143849274258,0.41167412806951975,0.12198902217353211,0.5297377698722376,0.2865289484302423,0.574918037510131,0.7100610308304005
5,0.016407143849274258,0.41167412806951975,0.12198902217353211,0.8449176089064352,0.2865289484302423,0.574918037510131,0.7100610308304005
6,0.5898327142002533,1.5292766775536588,0.3336542462489534,1.3210424649519195,1.109296845805457,2.4335339740854773,3.835645348368118
7,0.5898327142002533,1.5292766775536588,0.3336542462489534,2.3238699994320102,1.109296845805457,2.4335339740854773,3.835645348368118
8,1.8639325049734825,4.352165073745673,0.7156318575734366,3.5336223301325687,2.4700495389380195,7.619090639666356,9.630116615689701
9,1.8639325049734825,4.352165073745673,0.7156318575734366,5.26002625328558,2.4700495389380195,7.619090639666356,9.630116615689701
10,4.235097093603697,8.835405633671348,1.6331379472295855,6.825587158683597,5.860194106164956,13.910114079507697,17.563944493073173
11,4.235097093603697,8.835405633671348,1.6331379472295855,8.979833664698251,5.860194106164956,13.910114079507697,17.563944493073173
12,8.862606093373275,14.838266674586837,2.3563955798670477,11.47611425068989,10.906289881724868,21.008823467874013,26.295791873916492
13,8.862606093373275,14.838266674586837,2.3563955798670477,13.43410755514678,10.906289881724868,21.008823467874013,26.295791873916492
14,14.092118865818898,22.541669233336236,4.05379906665173,15.43332914053582,16.637848734175577,28.26307150203531,33.80109840657227
15,14.092118865818898,22.541669233336236,4.05379906665173,18.2820577059773,16.637848734175577,28.26307150203531,33.80109840657227
16,20.265798223475162,29.00984686046041,6.630230614421414,20.21790432704689,21.58131494860478,34.57089395037682,40.38530420778461
17,20.265798223475162,29.00984686046041,6.630230614421414,21.364458984891083,21.58131494860478,34.57089395037682,40.38530420778461
18,26.259761931640725,34.58066723991473,9.08109774873202,22.531424632831325,26.54029496939769,40.201951402797256,45.615772781058524
