Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,36.331654010865186,36.37776724105887,36.61056480008454,36.492858842587296
1,38.290375450689815,38.28917423773172,38.42205328889834,38.60423102079629
2,39.30626537727552,39.23852987272925,39.67538832677463,39.66746133617209
3,40.01889775790015,39.89750372466944,40.247323305590356,40.157171707904304
4,42.523287359509496,41.5660616710286,41.58684045274244,40.68924600796557
5,43.948335822785666,41.86278610382276,43.14758580934353,41.48945782147554
6,46.33866264591751,43.37877898124904,44.93520996774987,42.79259333307794
7,47.46044694231511,43.749997170354945,46.14180076785738,44.251928640521136
8,50.2195341373074,45.28227995351245,47.567567121929436,45.672438854817415
9,51.13949483549497,45.7252581007629,48.78193393504603,47.257160020046335
10,53.66943387924612,47.48558050523028,50.568478056952706,48.88013873899366
11,54.36497108800279,47.81261125891929,51.4667862733492,50.37512090149534
12,57.15197533191668,49.306606241893846,53.06593688035983,51.84132319792241
13,57.8872942528315,49.72215915467103,54.37919061437313,53.25639780801428
14,60.33942029432458,51.36194782171247,56.508769820657314,54.7321072399013
15,61.33850786621283,51.99305905278982,57.7725914963748,55.991910203178705
16,63.680143386288336,53.7834918712964,59.58038999624373,57.083320885487844
17,64.55329148952997,54.27633906366873,60.86762884599036,58.23402275238332
18,66.97975607843024,56.25455089258566,62.61039636149719,59.19556466018805
19,67.79205105471058,56.60703847749905,63.99043915202647,60.25744998067461
20,69.75879262727655,58.201378514973754,65.84520485217155,61.16357819395133
21,70.4797449525677,58.51917571585007,67.2698524866257,61.9824399685423
22,71.97875541829762,60.37683606564293,69.01809672840766,62.82340071889496
23,72.61704872731073,60.85770262157016,70.10969648956402,63.5479536927964
24,74.17751563764128,62.39823241785209,71.42596747683598,64.3484045956842
25,75.01277144402546,62.776934194654146,72.3029075089661,65.0657022535717
26,76.23009895554604,64.6221257729889,73.80448162340481,65.83465552736209
27,76.7753617089336,64.85487310861485,74.74269834391743,66.48897637179928
28,77.9747673776617,66.67028930395526,75.84874070082718,67.06497539225423
29,78.67427294669693,67.29187895934871,76.81160340164983,67.62717771813175
30,79.75203963747592,68.99141309722332,77.82270578403988,68.2160066987426
31,80.30317848283373,69.44872202583977,78.62281228408914,68.73395519459157
32,81.1124313856731,70.99635801156059,79.62918464631164,69.41464507656745
33,81.6692128781724,71.43861027773595,80.41970672238395,69.99135270124654
34,82.54982202570127,73.00280312198674,81.16713262225979,70.54089154001363
35,83.00308980508363,73.34691417900439,81.99682815189155,71.01985421630027
36,83.58691597933375,74.60119943437009,82.76598904086269,71.43775937869155
37,84.10931553600027,74.9919140905141,83.23773614995304,71.94941754644191
38,84.64528394072363,76.31834716478335,83.88887958635583,72.4034545861116
39,84.99281767398325,76.82305748867782,84.45347394484607,72.92563099422698
40,85.42619636601151,78.15759577490283,85.00016558142347,73.37739912858903
41,85.87740568518201,78.57335687402504,85.4797612849592,73.74011411036084
42,86.38931055978901,79.53651430190715,86.01470416623883,74.15991572253763
43,86.64608989282699,79.84501434451042,86.3712244411979,74.50274574211244
44,87.00554821441186,80.76180306124563,86.8038422003155,74.89481986252474
45,87.29725377668453,81.14273176594855,87.21110184924335,75.28073375086302
46,87.60525143816686,82.04065372143077,87.62131671508719,75.60409718303427
47,87.83858486003747,82.31415381962894,87.97505938223031,75.93086464008984
48,88.1249211357667,83.0956761116359,88.33653175584062,76.25564519242751
49,88.42387865179485,83.42041182436844,88.61556547145844,76.54987288129723
50,88.67871654383289,84.12532502222219,88.95362351358285,76.9146318089578
51,88.93400309357507,84.34701504406814,89.2333940223006,77.27630980605659
52,89.15402681746163,84.88597612476123,89.5628137149415,77.59721176596732
53,89.33008450917721,85.15759837258243,89.82599458952696,77.90722240627676
54,89.5986043377234,85.75793720734306,90.10143482744637,78.26009504355328
55,89.70828414043015,85.96604002875777,90.3126948326539,78.60263265127507
56,89.95203687150371,86.3625982613434,90.55973680272771,78.91622069512744
57,90.126596972342,86.64201990314073,90.74098148530412,79.23071259824647
58,90.36340553618658,87.02224451353551,90.97460884682565,79.6018504944861
59,90.5370238126672,87.2631975621458,91.14385426551087,79.87916254764392
60,90.727781866434,87.6353791497907,91.37823485265228,80.17608262789742
61,90.82876622881774,87.9038537104232,91.55611848511231,80.53202351012479
62,91.00053755706891,88.22880516227549,91.77098806028256,80.85048816957818
63,91.12508765311674,88.42693138492366,91.91847232716022,81.17302306463587
