Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.01077784987528816,0.032688277932390396,0.0,0.3658925341016305,0.0,0.1128766091487171,0.0
1,0.01077784987528816,0.032688277932390396,0.0,0.3658925341016305,0.0,0.1128766091487171,0.0
2,0.01077784987528816,0.25500136753500546,0.07706419116159961,0.3658925341016305,0.08763769383623163,0.0914309147662564,0.0
3,0.01077784987528816,0.25500136753500546,0.07706419116159961,0.3658925341016305,0.08763769383623163,0.0914309147662564,0.0
4,0.01077784987528816,0.4639921518782365,0.2194449993173543,0.3658925341016305,0.17997511180770656,0.4284797883585391,0.5531375622781485
5,0.01077784987528816,0.4639921518782365,0.2194449993173543,0.3658925341016305,0.17997511180770656,0.4284797883585391,0.5531375622781485
6,0.3740595863971109,1.1892858596713924,0.4193491540102603,0.37404491949857577,0.8666146550583155,2.0356116257369266,4.163640755254369
7,0.3740595863971109,1.1892858596713924,0.4193491540102603,0.4277417172509062,0.8666146550583155,2.0356116257369266,4.163640755254369
8,1.1981235931187957,4.057033945627454,1.0613093647822107,0.505073876362781,2.139862973074474,7.266225897222533,9.684175140445197
9,1.1981235931187957,4.057033945627454,1.0613093647822107,0.643948922450016,2.139862973074474,7.266225897222533,9.684175140445197
10,3.42343178261334,8.572869193545179,2.0915116477982365,1.148797411560701,5.807052050309383,13.861261289839662,16.924559383944064
11,3.42343178261334,8.572869193545179,2.0915116477982365,1.6722374675636242,5.807052050309383,13.861261289839662,16.924559383944064
12,7.660899929976603,15.292249788040605,2.92264960202089,2.549644338360372,10.488753818082044,21.267925237751435,25.752310142421912
13,7.660899929976603,15.292249788040605,2.92264960202089,3.662041163639762,10.488753818082044,21.267925237751435,25.752310142421912
14,13.448100994584108,22.783785014639196,4.448364508956164,5.337812531233239,15.997453040437115,28.237431730188376,33.471862612414746
15,13.448100994584108,22.783785014639196,4.448364508956164,7.722790351209448,15.997453040437115,28.237431730188376,33.471862612414746
16,20.346883900567835,29.091819014359398,7.282570923839547,9.698948011793753,20.837190724210984,34.257016156840564,39.92015643600483
17,20.346883900567835,29.091819014359398,7.282570923839547,12.115694199250628,20.837190724210984,34.257016156840564,39.92015643600483
18,26.40513283910138,34.93015344846077,10.007227471258371,13.930266789390213,26.099342415799942,39.316639093826474,45.278325577564345
19,26.40513283910138,34.93015344846077,10.007227471258371,15.859134389641955,26.099342415799942,39.316639093826474,45.278325577564345
20,32.344399995267686,39.72131655897278,11.833934145553485,18.290483306973147,31.278256665542482,44.2994145350755,50.03713629880559
21,32.344399995267686,39.72131655897278,11.833934145553485,19.767494251672183,31.278256665542482,44.2994145350755,50.03713629880559
22,36.84055024300541,43.813127570095624,15.501141371544463,20.953439396729607,36.19254999882656,48.332418873720904,53.83848338990154
23,36.84055024300541,43.813127570095624,15.501141371544463,21.67725211628756,36.19254999882656,48.332418873720904,53.83848338990154
24,41.79148325130134,47.710727828136825,18.405202002489833,22.7644484202599,39.9667078547031,51.719582561945124,57.22422991073183
25,41.79148325130134,47.710727828136825,18.405202002489833,24.387068165057716,39.9667078547031,51.719582561945124,57.22422991073183
26,45.304727424163666,51.34278336487837,21.46397379446376,26.039081227501338,43.82718832357633,55.01912198148066,60.52944019070717
27,45.304727424163666,51.34278336487837,21.46397379446376,27.398260087234515,43.82718832357633,55.01912198148066,60.52944019070717
28,49.00411691910323,54.74813667587479,24.37554922537371,28.52811703034657,47.134986930138155,58.16231159831361,63.46239639042231
29,49.00411691910323,54.74813667587479,24.37554922537371,29.141854181048043,47.134986930138155,58.16231159831361,63.46239639042231
30,52.342035685821166,58.19326491749389,27.09218453208908,29.949612696893475,50.07121861778345,61.13402956488604,66.27399861385499
31,52.342035685821166,58.19326491749389,27.09218453208908,30.893372808782978,50.07121861778345,61.13402956488604,66.27399861385499
32,55.146465886943005,61.00634221974086,29.678859752568844,32.31107161936035,52.857641244904265,63.88056892946565,68.73040080347906
