Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
0,54.72876334203887,55.88922542260709,62.2098215834852,64.55227976505009,65.16667053395149,67.52052401352863
1,63.56283920450986,61.093722864039634,62.2098215834852,64.55227976505009,65.16667053395149,67.52052401352863
2,70.1984612510923,65.13908026654448,66.32647893585815,64.55227976505009,65.16667053395149,67.52052401352863
3,74.9750135573196,68.84759444397753,66.32647893585815,69.1183840341599,65.16667053395149,67.52052401352863
4,78.83644264864357,71.82492521549598,70.1852749284983,69.1183840341599,69.30857289031741,67.52052401352863
5,82.10254560612263,74.34367047519044,70.1852749284983,69.1183840341599,69.30857289031741,71.74338246243202
6,84.49122603282726,76.79756732269615,73.22631855788532,72.41974865572024,69.30857289031741,71.74338246243202
7,86.49254410759858,79.32891364435015,73.22631855788532,72.41974865572024,69.30857289031741,71.74338246243202
8,88.24993362949272,81.41876668365056,75.97777344715739,72.41974865572024,72.84408540127858,71.74338246243202
9,89.62430704915828,82.93506954135998,75.97777344715739,75.3182640095308,72.84408540127858,71.74338246243202
10,90.78076548442321,84.33075878439777,78.54651613429785,75.3182640095308,72.84408540127858,74.85392742336538
11,91.79881066209919,85.71691908618251,78.54651613429785,75.3182640095308,72.84408540127858,74.85392742336538
12,92.69363877765343,86.9757587162756,80.78562183027795,78.04468169759934,76.23811880359348,74.85392742336538
13,93.41976346531503,87.99601075628502,80.78562183027795,78.04468169759934,76.23811880359348,74.85392742336538
14,94.0282719447502,88.89936439919042,82.61700435711901,78.04468169759934,76.23811880359348,74.85392742336538
15,94.59997119873321,89.62188466696814,82.61700435711901,80.37509330416304,76.23811880359348,77.58643947663624
16,95.07658396058032,90.36860513726255,84.16240370166257,80.37509330416304,79.15077029005133,77.58643947663624
17,95.47619356972287,91.01637107606513,84.16240370166257,80.37509330416304,79.15077029005133,77.58643947663624
18,95.872575191375,91.64950362127277,85.62199954007016,82.26240165302671,79.15077029005133,77.58643947663624
19,96.22200222075952,92.1762772262218,85.62199954007016,82.26240165302671,79.15077029005133,77.58643947663624
20,96.49605123594601,92.65291017011849,87.02512493034645,82.26240165302671,81.49304691754968,80.26146284397869
21,96.73267073318613,93.12145292606091,87.02512493034645,84.12451214280671,81.49304691754968,80.26146284397869
22,96.94870917600974,93.5540976769549,88.25032825166151,84.12451214280671,81.49304691754968,80.26146284397869
23,97.15277105770555,93.95180135305385,88.25032825166151,84.12451214280671,81.49304691754968,80.26146284397869
24,97.29470754302639,94.3074775337925,89.38969430220902,85.72607318718431,83.30829937792424,80.26146284397869
25,97.47265582161259,94.63051523127076,89.38969430220902,85.72607318718431,83.30829937792424,82.2666963666373
26,97.59932825226616,94.94698114513848,90.2403603698937,85.72607318718431,83.30829937792424,82.2666963666373
27,97.72119381009063,95.2721475448823,90.2403603698937,87.01565194034406,83.30829937792424,82.2666963666373
28,97.84050747286408,95.54431313340716,91.00119748412772,87.01565194034406,85.09867169392398,82.2666963666373
29,97.92286099019717,95.79377434169656,91.00119748412772,87.01565194034406,85.09867169392398,82.2666963666373
30,98.02079678129276,96.01942057616043,91.73138128088641,88.1430878709888,85.09867169392398,84.22561838952501
31,98.09848598342448,96.26081108028521,91.73138128088641,88.1430878709888,85.09867169392398,84.22561838952501
