Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//
0,40.396728916184315,40.20354671212755
1,40.396728916184315,40.20354671212755
2,45.50160600014708,45.2157636392565
3,45.50160600014708,45.2157636392565
4,51.854236890779525,53.18590652632085
5,51.854236890779525,53.18590652632085
6,58.362542606106516,60.65578093876732
7,58.362542606106516,60.65578093876732
8,64.78363894203753,67.10662752823671
9,64.78363894203753,67.10662752823671
10,70.17008778680089,72.1953829123345
11,70.17008778680089,72.1953829123345
12,74.84779669552587,76.59806354430776
13,74.84779669552587,76.59806354430776
14,78.39340122948248,80.4072095694751
15,78.39340122948248,80.4072095694751
16,81.55266772013867,83.52738230696414
17,81.55266772013867,83.52738230696414
18,84.03447171408514,86.0856207974631
19,84.03447171408514,86.0856207974631
20,86.17996868179033,88.15747699305192
21,86.17996868179033,88.15747699305192
22,87.9997070340908,89.83587318654884
23,87.9997070340908,89.83587318654884
24,89.5692277771723,91.20451097722419
25,89.5692277771723,91.20451097722419
26,90.79280951906595,92.27496751212365
27,90.79280951906595,92.27496751212365
28,91.82535713827517,93.1697671965389
29,91.82535713827517,93.1697671965389
30,92.70921043425726,93.85505796672078
31,92.70921043425726,93.85505796672078
32,93.4870078394428,94.41914299705623
33,93.4870078394428,94.41914299705623
34,94.16582806984337,94.8831509523806
35,94.16582806984337,94.8831509523806
36,94.77387230737017,95.29233487648015
37,94.77387230737017,95.29233487648015
38,95.28259470705106,95.63575365308874
39,95.28259470705106,95.63575365308874
40,95.72149100874343,95.94114137696286
41,95.72149100874343,95.94114137696286
42,96.08254752092623,96.19653954965523
43,96.08254752092623,96.19653954965523
44,96.38415701782873,96.42031948049862
45,96.38415701782873,96.42031948049862
46,96.64049508037287,96.61783281312988
47,96.64049508037287,96.61783281312988
48,96.85580712410473,96.80018614379038
49,96.85580712410473,96.80018614379038
50,97.04081452460885,96.95228076435534
51,97.04081452460885,96.95228076435534
52,97.20459289262213,97.0999688234537
53,97.20459289262213,97.0999688234537
54,97.33585204912289,97.22060858880326
55,97.33585204912289,97.22060858880326
56,97.44936019779918,97.33458416614998
57,97.44936019779918,97.33458416614998
58,97.55203820612496,97.43015736362355
59,97.55203820612496,97.43015736362355
60,97.64276631665864,97.52755270425807
61,97.64276631665864,97.52755270425807
62,97.73015588421856,97.62223593833613
63,97.73015588421856,97.62223593833613
64,97.79841141192722,97.69547453908827
65,97.79841141192722,97.69547453908827
66,97.8681691778506,97.75946167180109
67,97.8681691778506,97.75946167180109
68,97.92339051783051,97.81980228202525
69,97.92339051783051,97.81980228202525
70,97.97866377996485,97.88606459313577
71,97.97866377996485,97.88606459313577
72,98.02819537954375,97.93346644504436
73,98.02819537954375,97.93346644504436
74,98.07642979827403,97.99390777526433
75,98.07642979827403,97.99390777526433
76,98.12411488316076,98.03647651015879
77,98.12411488316076,98.03647651015879
78,98.16363363250503,98.09519650916316
79,98.16363363250503,98.09519650916316
80,98.21115985092148,98.13411038420952
81,98.21115985092148,98.13411038420952
82,98.24093401310977,98.17202955265643
83,98.24093401310977,98.17202955265643
84,98.27064396334835,98.21361447392269
85,98.27064396334835,98.21361447392269
86,98.30119297594017,98.24799295001012
87,98.30119297594017,98.24799295001012
88,98.32418980750015,98.28015061552705
89,98.32418980750015,98.28015061552705
90,98.34613058690789,98.31924012256496
91,98.34613058690789,98.31924012256496
92,98.3711868252388,98.350549569858
93,98.3711868252388,98.350549569858
94,98.39611653902233,98.37328298230402
95,98.39611653902233,98.37328298230402
96,98.4148131056328,98.40407695636671
97,98.4148131056328,98.40407695636671
98,98.44003819684801,98.42896711019748
99,98.44003819684801,98.42896711019748
100,98.46469907682713,98.44448365393963
101,98.46469907682713,98.44448365393963
102,98.48128742412966,98.47730348904798
103,98.48128742412966,98.47730348904798
104,98.48957102733438,98.49419757431146
105,98.48957102733438,98.49419757431146
106,98.50436632408807,98.5084080767733
107,98.50436632408807,98.5084080767733
108,98.5209287038576,98.52772625579158
109,98.5209287038576,98.52772625579158
110,98.54005903779483,98.54196273064758
111,98.54005903779483,98.54196273064758
112,98.55423385212916,98.5635552955931
113,98.55423385212916,98.5635552955931
114,98.56405271952607,98.58253620337156
115,98.56405271952607,98.58253620337156
116,98.58114571010444,98.59899709785569
117,98.58114571010444,98.59899709785569
118,98.59129686486787,98.60946756234678
119,98.59129686486787,98.60946756234678
120,98.60685742706224,98.62981676214075
121,98.60685742706224,98.62981676214075
122,98.62113522841409,98.64092964490098
123,98.62113522841409,98.64092964490098
124,98.63145043155251,98.66182114322682
125,98.63145043155251,98.66182114322682
126,98.63473430110953,98.68387831167271
127,98.63473430110953,98.68387831167271
128,98.64490127948348,98.70685561591952
129,98.64490127948348,98.70685561591952
130,98.65519494767686,98.72985184107881
131,98.65519494767686,98.72985184107881
132,98.66287057344458,98.7498525229
133,98.66287057344458,98.7498525229
134,98.66906293661413,98.76830833193138
135,98.66906293661413,98.76830833193138
136,98.67353751156627,98.78025484775766
137,98.67353751156627,98.78025484775766
138,98.68358445674788,98.80185382224685
139,98.68358445674788,98.80185382224685
140,98.69566198807152,98.81899950036136
141,98.69566198807152,98.81899950036136
142,98.70693511352957,98.83126860968729
143,98.70693511352957,98.83126860968729
144,98.71042198480858,98.84746576709256
145,98.71042198480858,98.84746576709256
146,98.7143244906682,98.8650317954939
147,98.7143244906682,98.8650317954939
148,98.71842749494691,98.88267898893302
149,98.71842749494691,98.88267898893302
150,98.72538029734945,98.89737099064276
151,98.72538029734945,98.89737099064276
152,98.73524863527331,98.91073305831605
153,98.73524863527331,98.91073305831605
154,98.73933458475555,98.92249864548201
155,98.73933458475555,98.92249864548201
156,98.74484318597685,98.93281909897468
157,98.74484318597685,98.93281909897468
158,98.7471038534156,98.94297216463283
159,98.7471038534156,98.94297216463283
160,98.75837803856784,98.95751504814076
161,98.75837803856784,98.95751504814076
162,98.75897114153108,98.96647926289982
163,98.75897114153108,98.96647926289982
164,98.76508749484746,98.97604922784683
165,98.76508749484746,98.97604922784683
166,98.77178978277601,98.98340647912747
167,98.77178978277601,98.98340647912747
168,98.77252536416543,98.99318458698377
169,98.77252536416543,98.99318458698377
170,98.77432857521332,99.00015340646667
171,98.77432857521332,99.00015340646667
172,98.77998713592685,99.00937839818813
173,98.77998713592685,99.00937839818813
174,98.78503572212877,99.01790068104152
175,98.78503572212877,99.01790068104152
176,98.78256739069218,99.02415213531856
177,98.78256739069218,99.02415213531856
178,98.78878569016442,99.02895090178674
179,98.78878569016442,99.02895090178674
180,98.79414236597499,99.03590960259193
181,98.79414236597499,99.03590960259193
182,98.79463975288334,99.04039677298336
183,98.79463975288334,99.04039677298336
184,98.79755332015665,99.04559472163565
185,98.79755332015665,99.04559472163565
186,98.80497904364972,99.05002859589592
187,98.80497904364972,99.05002859589592
188,98.81387142848838,99.05565128006238
189,98.81387142848838,99.05565128006238
190,98.82088455028806,99.05943402649665
191,98.82088455028806,99.05943402649665
192,98.82372043560348,99.06270199936391
193,98.82372043560348,99.06270199936391
194,98.8251662945111,99.06679496149872
195,98.8251662945111,99.06679496149872
196,98.82854422731243,99.06966770924828
197,98.82854422731243,99.06966770924828
198,98.82804872681304,99.0728210836364
