Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
0,57.938933872729606,58.62943435368406,57.69372826750273,58.2746155178668
1,61.418639599393885,62.32645166137101,61.972608639763784,62.79619614366045
2,64.17063997299127,64.3316577649403,64.25596498761588,65.27971045674222
3,65.904933624711,66.43799050018181,66.17351415390547,67.51965338173646
4,70.08345996812933,69.20922065783284,68.12110913235844,69.93644114023948
5,72.11201173033328,69.58476225387496,69.58095620878066,72.11977558380627
6,76.1827384853498,71.52070086979985,72.6509825828501,74.46733011630637
7,77.80745510294062,72.19892843223617,74.44844211928437,77.09382146960047
8,80.66453509695717,74.27362098496833,76.8871013447113,79.54176176458402
9,82.10685252970161,74.59368016014207,78.30798544568617,82.42171526557973
10,84.9359016016574,76.68129323775602,80.78435721358412,84.18015059469447
11,86.21812815733587,77.14613458097429,82.20838704934738,85.71707849601555
12,87.41574730122701,78.82458354119119,84.46224535867148,87.4578405534896
13,88.14966127387252,79.24713861940512,85.81451070250002,89.13382922357732
14,89.20601893722612,81.42581830525806,87.2622923684015,90.31912366896655
15,89.94151164653812,81.76148446180369,88.17818549707903,91.35400781214159
16,90.68741654815342,83.25543126971269,89.78537084482251,92.22590298348597
17,91.31473375354862,83.67315013934248,90.57486867560952,93.07328030409022
18,91.79441531382895,84.86435271979752,91.73084369326548,93.85722624976832
19,92.23442497777431,85.21866047750885,92.31567634077287,94.52194484067418
20,92.59660980742537,86.27738534448791,93.15309345408014,95.08656956597933
21,93.14655962498342,86.66373233863614,93.64204332238663,95.46976286728555
22,93.49066796044985,87.82623153586846,94.21015130283669,95.84870752019884
23,93.6482093084541,88.14507369803076,94.79694111852615,96.23689421861876
24,93.82128740148576,89.1344871152707,95.28146699238869,96.49562325427783
25,94.21978352720214,89.41441837436047,95.55972826389069,96.72080077273694
26,94.38337787604618,90.42240388750625,95.91706551058446,96.89554930508366
27,94.58273415359946,90.78765362244296,96.1270132563591,96.99944201151769
28,94.73488819679885,91.73838095161705,96.45054326253994,97.13189425789022
29,94.94062834922634,91.95169732370637,96.69848375928473,97.23683233045804
30,95.03490998777927,92.55408324684979,96.92744431996957,97.35688409465705
31,95.35796902502206,92.78392787041186,97.07880159920896,97.43463668402579
32,95.44920232779609,93.16877657951704,97.20986654721733,97.53147013061954
33,95.53311402781455,93.46178145212211,97.38257061888278,97.60180068312621
34,95.6746920255569,93.82929641160325,97.48663343710905,97.6579591167008
35,95.75772315964197,94.00205475812146,97.54334413725303,97.7073255484527
36,95.8234710265799,94.28037822895419,97.6415085981344,97.74627129892417
37,95.89866518427499,94.47334083374801,97.69201659021508,97.77531907937431
38,95.93345000322742,94.79135051875102,97.75119587552112,97.80769195422798
39,96.0790780963793,94.83196304686507,97.83824549760806,97.82577118542663
40,96.20330888455341,95.01180985353486,97.91297788509762,97.84786830340991
41,96.331225673511,95.09956363280311,97.97576052501921,97.86122655712302
42,96.41255077839197,95.23259620291748,98.02480502905988,97.87252442654851
43,96.44298511441829,95.36343456094012,98.08082242221995,97.88637237675857
44,96.46364206800963,95.4591621357719,98.12343767755539,97.89307690483001
45,96.51898507795211,95.524441950719,98.16798972857339,97.8973162454892
46,96.58876659585495,95.62262404813598,98.24378898860687,97.91290926350338
47,96.6927669605249,95.66553375322685,98.29066653256858,97.91881799751296
48,96.73087007131684,95.75921216582124,98.30842790720051,97.92580658556983
49,96.7605382408838,95.80979632010524,98.33882622299703,97.93150249861135
50,96.80659391532522,95.91286742322318,98.36357888333414,97.93490626190032
51,96.87164829648752,95.96765838941135,98.38104608961847,97.94054137858595
52,96.89726289987958,96.02672341261858,98.4057372927296,97.94379126105675
53,96.94651445860741,96.08933845572716,98.41965620565038,97.94506835382096
54,97.01234374941019,96.22609687893399,98.45100747519082,97.94668530273312
55,97.03991528024454,96.25227732097034,98.47427090977527,97.949388492277
56,97.06352512961385,96.29758069497898,98.49365074157706,97.95448435497504
57,97.0911053059813,96.31954800561924,98.50751427026508,97.95703469559862
58,97.10245399488834,96.38673875739292,98.5307164231384,97.95859087771812
59,97.18872143950976,96.42350680196462,98.5534125980349,97.96011292918098
60,97.22610718456701,96.44585604368729,98.57190597152221,97.96209668526984
61,97.25076931854473,96.46773318854626,98.57995980747297,97.96336034558641
62,97.26352777434619,96.50492253034093,98.59089442158142,97.96733434275649
63,97.29222009834082,96.51325207325353,98.59908782389365,97.96824236594364
64,97.30289172362667,96.55439234279245,98.62089967941802,97.9709153617502
