Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,51.46217411440869,46.20442506223118
1,51.46217411440869,46.20442506223118
2,51.46217411440869,53.40915150341513
3,51.577353814808156,53.40915150341513
4,50.56459348754473,64.45717061927974
5,50.99956394486107,64.45717061927974
6,52.65268765481203,73.41565245418653
7,53.896079250439875,73.41565245418653
8,56.061647281270325,79.62697980349624
9,58.66975238416477,79.62697980349624
10,60.881406474489296,84.11131060533577
11,62.81221763888305,84.11131060533577
12,64.82138460954104,87.26931784675581
13,66.27784692078605,87.26931784675581
14,68.29710019410874,89.2956765341137
15,69.88795021742402,89.2956765341137
16,71.79879125933552,90.72577387762634
17,73.51954623782105,90.72577387762634
18,75.23256715104587,91.68533108471932
19,76.70353206447818,91.68533108471932
20,78.06784662398312,92.36079875422321
21,79.63500855725057,92.36079875422321
22,80.95364713881222,92.835901477171
23,82.10881825460525,92.835901477171
24,83.08567076899018,93.2415390815275
25,83.96867280818583,93.2415390815275
26,84.89082200694789,93.54704653898516
27,85.60914191178925,93.54704653898516
28,86.30070360532021,93.79172335502486
29,86.9773439619696,93.79172335502486
30,87.67135678753154,93.99843958339224
31,88.29786774786754,93.99843958339224
32,88.79475158847113,94.18511732429623
33,89.30718389973259,94.18511732429623
34,89.71456072420234,94.32353340567462
35,90.17858748474076,94.32353340567462
36,90.5450089453321,94.45402957713246
37,90.8750400972034,94.45402957713246
38,91.20598912410236,94.56517790618902
39,91.5094534845867,94.56517790618902
40,91.76287303251623,94.68392154474893
41,92.01704566880193,94.68392154474893
42,92.26899183459717,94.78090980889635
43,92.45701067756377,94.78090980889635
44,92.65070911559971,94.88371496866067
45,92.80944904692795,94.88371496866067
46,92.95261057507007,94.97162198918508
47,93.10800424210001,94.97162198918508
48,93.24590315044352,95.06219183258143
49,93.40148817071238,95.06219183258143
50,93.5444127524314,95.15267621589176
51,93.66124643483805,95.15267621589176
52,93.76676117264034,95.21964103313267
53,93.87313650787338,95.21964103313267
54,93.96679170921826,95.29188253283573
55,94.06385817066355,95.29188253283573
56,94.1443396232965,95.35430857172335
57,94.2091047080139,95.35430857172335
58,94.27550256579018,95.42139441090634
59,94.34968504517848,95.42139441090634
60,94.41820176307017,95.47846630813609
61,94.4870072226734,95.47846630813609
62,94.54359711663723,95.52777722823085
63,94.5982146320225,95.52777722823085
64,94.64838321623829,95.58403793230869
65,94.6989795763278,95.58403793230869
66,94.74790982521971,95.62856040600613
67,94.79107630588291,95.62856040600613
68,94.83424240640412,95.67970333919956
69,94.87542712638017,95.67970333919956
70,94.91659856991674,95.72402737870752
71,94.9558848228532,95.72402737870752
72,94.99516656674217,95.78261280755265
73,95.03212370960027,95.78261280755265
74,95.06835845713553,95.8169222650148
75,95.10332317103833,95.8169222650148
76,95.13173775454108,95.87240707168031
77,95.1584445420695,95.87240707168031
78,95.19082784777012,95.91415348643719
79,95.21874252180653,95.91415348643719
80,95.2456173480769,95.95783530586516
81,95.27393669491028,95.95783530586516
82,95.30068399104783,96.00782589153242
83,95.32524623049403,96.00782589153242
84,95.35249241175897,96.05558664231353
85,95.37466726953453,96.05558664231353
86,95.39905835472571,96.0865375532566
87,95.42292306988072,96.0865375532566
88,95.44562176006069,96.13932968057584
89,95.46868378388761,96.13932968057584
90,95.487519000152,96.1696780048201
91,95.5090032128338,96.1696780048201
92,95.53107214894287,96.2122119005034
93,95.55201053632696,96.2122119005034
94,95.57338055384734,96.23763685111444
95,95.58970629676571,96.23763685111444
96,95.6095398457122,96.29338138935411
97,95.6298731574491,96.29338138935411
98,95.64887365279314,96.33485852771122
99,95.66829565770331,96.33485852771122
100,95.68744902653005,96.35833108754187
101,95.7048176366019,96.35833108754187
102,95.72205416451159,96.39257517701193
103,95.73873173736511,96.39257517701193
104,95.7552560462457,96.43763769101486
105,95.77277491351148,96.43763769101486
106,95.7913977483661,96.44159884253234
107,95.8054811783027,96.44159884253234
108,95.81743932718494,96.4730039848744
109,95.83087667438397,96.4730039848744
110,95.84668317316655,96.50450116951123
111,95.86062779964035,96.50450116951123
112,95.87631635773515,96.55117436025814
113,95.89122763383527,96.55117436025814
114,95.90586023198378,96.57562530165926
115,95.91685719071302,96.57562530165926
116,95.9297230970204,96.6278419713943
117,95.94358816028368,96.6278419713943
118,95.95708432615397,96.64943680939584
119,95.96976447981365,96.64943680939584
120,95.9808141458492,96.69661443324436
121,95.9930585908919,96.69661443324436
122,96.00487831349034,96.73100684834857
123,96.01781380469392,96.73100684834857
124,96.03175778016718,96.79080368731678
125,96.0451508740162,96.79080368731678
126,96.05747401430702,96.8269667531222
127,96.06952484996476,96.8269667531222
128,96.080294263072,96.89353139068099
129,96.09134884443138,96.89353139068099
130,96.1053382561237,96.94443778344478
131,96.11799494472295,96.94443778344478
132,96.12866178953414,97.01580873359755
133,96.14015165609409,97.01580873359755
134,96.15145246676624,97.05815667435839
135,96.16230843849874,97.05815667435839
136,96.17372425744283,97.12026389262095
137,96.18482634056701,97.12026389262095
138,96.19619417793348,97.16870648275884
139,96.20540241020157,97.16870648275884
140,96.21698410216268,97.21688906130666
141,96.22756313462493,97.21688906130666
142,96.2366890441846,97.25222437833824
143,96.24770752399479,97.25222437833824
144,96.25679762476253,97.3004429641835
145,96.266501238969,97.3004429641835
146,96.2766060050761,97.33660506444852
147,96.28702026816951,97.33660506444852
148,96.29891700165163,97.38218003852329
149,96.30938984366588,97.38218003852329
150,96.31901132104898,97.42303851134513
151,96.32820139730539,97.42303851134513
152,96.33768100264048,97.4757515559097
153,96.34950496551403,97.4757515559097
154,96.36168486479792,97.50739246131421
155,96.37270955936727,97.50739246131421
156,96.3834890962712,97.54089911466039
157,96.39342672190678,97.54089911466039
158,96.4027098422713,97.5771622632552
159,96.41020126145536,97.5771622632552
160,96.41845701349642,97.60618517945562
161,96.42613118522387,97.60618517945562
162,96.43226344267248,97.63009671075322
163,96.44120844300433,97.63009671075322
164,96.44988147275855,97.65452968830361
165,96.45897024618135,97.65452968830361
166,96.46792444490282,97.67687393354527
167,96.47769032660786,97.67687393354527
168,96.48724020216927,97.70017796367587
169,96.49690057032522,97.70017796367587
170,96.50607858458774,97.7223435683024
171,96.51390091468028,97.7223435683024
172,96.52290861816873,97.7428240209368
173,96.53056328620951,97.7428240209368
174,96.53824163788653,97.76540353416581
175,96.54578284823188,97.76540353416581
176,96.55446077671934,97.78290201275405
177,96.5621085431856,97.78290201275405
178,96.571148340843,97.80232497020727
179,96.57913650242273,97.80232497020727
180,96.58449160110982,97.8168747325429
181,96.59107001362779,97.8168747325429
182,96.59724184947574,97.83173522298853
183,96.60734705765886,97.83173522298853
184,96.6164742731787,97.84390915478106
185,96.62480495952407,97.84390915478106
186,96.6336586759022,97.8539385447558
187,96.64304111501988,97.8539385447558
188,96.6513509546503,97.86656492989032
189,96.6586656621138,97.86656492989032
190,96.66619048157473,97.87435382111241
191,96.67354240616986,97.87435382111241
192,96.68153461125456,97.88878922110786
193,96.68748214683372,97.88878922110786
194,96.69301017489244,97.89828522209913
195,96.70016413008406,97.89828522209913
196,96.70728582708806,97.90871398370454
197,96.71396406378838,97.90871398370454
198,96.721557054692,97.92004987564323
199,96.7278182374706,97.92004987564323
200,96.7335612167247,97.92932470146144
201,96.74178759703909,97.92932470146144
202,96.75293316563129,97.93969408625048
203,96.76114919142736,97.93969408625048
204,96.76853096810036,97.95224637830871
205,96.77615412647738,97.95224637830871
206,96.78420264314741,97.96161712580296
207,96.79040438535671,97.96161712580296
208,96.79771086620106,97.96892156807442
209,96.80420880297261,97.96892156807442
210,96.80910876074812,97.97641233383816
211,96.81644666565457,97.97641233383816
212,96.82372262797873,97.98400046027548
213,96.82994976868522,97.98400046027548
214,96.83688236295689,97.99381902617873
215,96.84429183403088,97.99381902617873
216,96.84959240128643,97.99970385877205
217,96.85723190865986,97.99970385877205
218,96.86375979545008,98.00560481545175
219,96.87281408760316,98.00560481545175
220,96.88022048817108,98.01492715922406
221,96.8881129786115,98.01492715922406
222,96.8965772444391,98.02001510785034
223,96.90480155691395,98.02001510785034
224,96.91144075027537,98.02699966521078
