Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
0,0.0,0.0,0.0,0.0019436711836660647,0.006573067590254488,0.0016846647847032074
1,0.030931200816187398,0.0,0.0,0.0019436711836660647,0.006573067590254488,0.0016846647847032074
2,0.176366365090006,0.029771375271016674,0.038532095580799806,0.0019436711836660647,0.006573067590254488,0.0016846647847032074
3,1.158244772893038,0.09584321524902374,0.038532095580799806,0.008383432353027156,0.006573067590254488,0.0016846647847032074
4,3.12465840764186,0.13235401253100856,0.12198902217353211,0.008383432353027156,0.047247663758275646,0.0016846647847032074
5,6.4889333674539404,0.37851270286558025,0.12198902217353211,0.008383432353027156,0.047247663758275646,0.06676793845692297
6,11.016974026288327,0.8310825028878482,0.3336542462489534,0.13759675623349177,0.047247663758275646,0.06676793845692297
7,17.493262006274726,1.5173522448279562,0.3336542462489534,0.13759675623349177,0.047247663758275646,0.06676793845692297
8,23.09666486369883,2.9689519737103627,0.7156318575734366,0.13759675623349177,0.08189371580309406,0.06676793845692297
9,28.492381133093236,5.24522497983116,0.7156318575734366,0.29481062970656513,0.08189371580309406,0.06676793845692297
10,33.73871808470649,7.536119062847573,1.6331379472295855,0.29481062970656513,0.08189371580309406,0.23341739129935116
11,38.378791232643266,10.101408749797285,1.6331379472295855,0.29481062970656513,0.08189371580309406,0.23341739129935116
12,42.49166232254545,12.46835823017243,2.3563955798670477,0.90850263806977,0.29089453893585177,0.23341739129935116
13,46.38919436878757,15.423782005097763,2.3563955798670477,0.90850263806977,0.29089453893585177,0.23341739129935116
14,49.869997068119126,17.84559983224909,4.05379906665173,0.90850263806977,0.29089453893585177,0.23341739129935116
15,53.02400029182207,20.697387367020628,4.05379906665173,1.343815195153111,0.29089453893585177,0.4203362460044679
16,55.75740043275751,23.780440109800423,6.630230614421414,1.343815195153111,0.8455271377263328,0.4203362460044679
17,58.288335895499976,26.97926261045631,6.630230614421414,1.343815195153111,0.8455271377263328,0.4203362460044679
18,60.83794389931613,30.14589539276354,9.08109774873202,2.5712177014049096,0.8455271377263328,0.4203362460044679
19,63.03982678883225,32.686920393584224,9.08109774873202,2.5712177014049096,0.8455271377263328,0.4203362460044679
20,65.02938794318915,35.24785858585927,11.055207647958,2.5712177014049096,1.5945831214489412,1.0987679828407548
21,66.99317259719207,37.81637362823985,11.055207647958,4.425918040104811,1.5945831214489412,1.0987679828407548
22,68.78753198710183,40.09023090908123,14.38300604220101,4.425918040104811,1.5945831214489412,1.0987679828407548
23,70.485841294071,42.4105202718061,14.38300604220101,4.425918040104811,1.5945831214489412,1.0987679828407548
24,72.01062069483648,44.395121189097665,17.856888755392074,7.073878929077804,3.481526040197797,1.0987679828407548
25,73.42670228899537,46.52694410694063,17.856888755392074,7.073878929077804,3.481526040197797,2.5116003687386077
26,74.75774295548581,48.4793023848155,20.93156165078324,7.073878929077804,3.481526040197797,2.5116003687386077
27,75.80291016707561,50.440135712165535,20.93156165078324,9.521329550410602,3.481526040197797,2.5116003687386077
28,76.96245823868331,52.10453232087231,23.957741649286024,9.521329550410602,5.653934588720515,2.5116003687386077
29,78.04247302334535,53.72534908383432,23.957741649286024,9.521329550410602,5.653934588720515,2.5116003687386077
30,79.01552105900767,55.18106537157881,26.797800560277015,12.391896762809123,5.653934588720515,4.190616048505077
