Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//
0,11.76790550052828,11.748458871976613
1,11.76790550052828,11.748458871976613
2,13.200389740896323,13.36056962542239
3,13.200389740896323,13.36056962542239
4,14.781141345615302,15.35103766979165
5,14.781141345615302,15.35103766979165
6,16.435835366256494,17.315850668159154
7,16.435835366256494,17.315850668159154
8,18.183381599472757,19.419465695383447
9,18.183381599472757,19.419465695383447
10,19.961689402429823,21.567355294801352
11,19.961689402429823,21.567355294801352
12,21.779278716726164,23.650698013850505
13,21.779278716726164,23.650698013850505
14,23.58406776322081,25.696593425261
15,23.58406776322081,25.696593425261
16,25.209455439058317,27.558919917381022
17,25.209455439058317,27.558919917381022
18,26.763625084046048,29.34108026482765
19,26.763625084046048,29.34108026482765
20,28.161112004740755,31.019541430658233
21,28.161112004740755,31.019541430658233
22,29.495925835401398,32.582662090496754
23,29.495925835401398,32.582662090496754
24,30.839050464828503,34.14438472728861
25,30.839050464828503,34.14438472728861
26,32.124704462330016,35.74477575952614
27,32.124704462330016,35.74477575952614
28,33.379265246110805,37.38926203773343
29,33.379265246110805,37.38926203773343
30,34.62955871398648,39.14866361849928
31,34.62955871398648,39.14866361849928
32,35.865765769043676,40.939051289736355
33,35.865765769043676,40.939051289736355
34,37.15110089957642,42.83739456618671
35,37.15110089957642,42.83739456618671
36,38.388641095141416,44.725702701067796
37,38.388641095141416,44.725702701067796
38,39.62248835880513,46.6776681467133
39,39.62248835880513,46.6776681467133
40,40.79693407006648,48.519394452884434
41,40.79693407006648,48.519394452884434
42,41.91445548357066,50.37384778735974
43,41.91445548357066,50.37384778735974
44,43.0024861193331,52.28009773250204
45,43.0024861193331,52.28009773250204
46,44.04096591885885,54.06478778442558
47,44.04096591885885,54.06478778442558
48,45.055785989313826,55.9593238774586
49,45.055785989313826,55.9593238774586
50,46.011241824057926,57.69591956162915
51,46.011241824057926,57.69591956162915
52,46.94289761685162,59.36537599150111
53,46.94289761685162,59.36537599150111
54,47.83845948525864,60.939124829983285
55,47.83845948525864,60.939124829983285
56,48.70458573866179,62.21809311677227
57,48.70458573866179,62.21809311677227
58,49.52244783042194,63.484641185832714
59,49.52244783042194,63.484641185832714
60,50.31471320284949,64.5981369136519
61,50.31471320284949,64.5981369136519
62,51.10307758551025,65.61323391266812
63,51.10307758551025,65.61323391266812
64,51.83560321456512,66.53036392951479
65,51.83560321456512,66.53036392951479
66,52.53804049905115,67.35476613194349
67,52.53804049905115,67.35476613194349
68,53.23093445543264,68.11710190801156
69,53.23093445543264,68.11710190801156
70,53.8746964024454,68.86704605515338
71,53.8746964024454,68.86704605515338
72,54.501443133862786,69.55678942408768
73,54.501443133862786,69.55678942408768
74,55.09287047731879,70.22275620489503
75,55.09287047731879,70.22275620489503
76,55.66973861049122,70.86551962750775
77,55.66973861049122,70.86551962750775
78,56.23068832895941,71.46140787608807
79,56.23068832895941,71.46140787608807
80,56.785715281394694,72.05473325927166
81,56.785715281394694,72.05473325927166
82,57.31947227481276,72.70159979781629
83,57.31947227481276,72.70159979781629
84,57.849578130988824,73.30303539440656
85,57.849578130988824,73.30303539440656
86,58.35495800899712,73.92069322976732
87,58.35495800899712,73.92069322976732
88,58.82312629111929,74.60017531766391
89,58.82312629111929,74.60017531766391
90,59.289246607433896,75.2321475188522
91,59.289246607433896,75.2321475188522
92,59.73418703361304,75.82206365846254
93,59.73418703361304,75.82206365846254
94,60.193805604105904,76.40907511917389
95,60.193805604105904,76.40907511917389
96,60.63275173373225,76.94066544714745
97,60.63275173373225,76.94066544714745
98,61.04517428338191,77.41697654164095
99,61.04517428338191,77.41697654164095
100,61.43902940480876,77.85830374180789
101,61.43902940480876,77.85830374180789
102,61.84309448507367,78.29038766281519
103,61.84309448507367,78.29038766281519
104,62.22254567293606,78.67836908112854
105,62.22254567293606,78.67836908112854
106,62.589329717280414,79.03271533931098
107,62.589329717280414,79.03271533931098
108,62.92484744832165,79.37169784370928
109,62.92484744832165,79.37169784370928
110,63.25527759469188,79.66958582979528
111,63.25527759469188,79.66958582979528
112,63.5552822042082,79.97049183348868
