Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,2.8484675900708044E-4,0.0,0.0
29,0.0,0.0,0.0,0.0,2.8484675900708044E-4,0.0,0.0
30,0.0,1.58291564659309E-5,0.0,6.680033766484468E-5,0.0034068533509377364,0.0,0.0
31,0.0,9.814632328793364E-4,0.0,6.019395587520469E-5,0.003709427331319538,0.0,0.0
32,0.0,0.0010980904440611053,0.0,8.050577815514324E-5,0.00425577732905839,0.0,0.0
33,0.0,0.0011022807426570094,0.0,6.893216016428746E-5,0.004322578936453112,0.0,0.0
34,0.0,0.0012903028714047271,0.0,6.893216016428746E-5,0.004481018588414088,0.0,0.0
35,0.0,0.0014248284093674802,5.887505914010394E-5,2.509131481432208E-4,0.003932801923009851,0.0,0.0
36,0.0,0.002092138058755857,6.087964172860044E-5,1.5011397699170182E-4,0.004034756899704506,0.0,0.0
37,0.0,0.0040836005334528224,6.205411344760995E-5,8.719206076101795E-4,0.004117217739550206,0.0,0.0
38,0.0,0.005291581257162631,8.588591984410084E-5,8.719206076101795E-4,0.00427623192600049,0.0,0.0
39,0.0,0.007010006349852135,1.6368147839776337E-4,0.0013864387554907605,0.004311097772131742,0.0,0.0
40,0.0,0.009123226991518615,1.60023480864042E-4,0.0011372755874110567,0.034044690228013416,0.0,0.0
41,0.0,0.009155737398092488,2.4624435389212796E-4,0.0014719122823986573,0.03406065453215125,0.0,0.0
42,0.0,0.015495928898231178,2.697374335615244E-4,0.001759289047433354,0.03562873119017286,0.0,0.0
43,0.0,0.01581520282594458,3.0921951055634607E-4,0.0034943794590577364,0.02982539284278045,0.0,0.0
44,0.0,0.021383422875280875,3.0921951055634607E-4,0.004467795649792955,0.032335205102806214,0.0,0.0
45,0.0,0.02794933042999398,3.269483474051775E-4,0.004907133387845123,0.03356704338972834,0.0,0.0
46,0.0,0.03036243782820227,6.033068769548723E-4,0.005712731523867448,0.044551122567831426,0.0,0.0
47,0.0,0.03745241942336039,7.856059603978285E-4,0.006915939476236548,0.044688674269826825,0.0,0.0
48,0.0,0.04241281427000957,8.279618148286294E-4,0.006730054376153673,0.04614307172730749,0.0,0.0
49,0.0012381509675272401,0.0514647414583291,8.054575170121066E-4,0.007837363770747261,0.04738627761530255,0.0,0.0
50,0.0012816036529535516,0.04867606581459015,0.0010745370206690142,0.011107567318639176,0.048100881921855895,0.0,0.0
51,0.001392522364496088,0.09290605894303386,0.0018063011477666444,0.011504153562686872,0.05510612753210451,0.0,4.928424203661042E-4
52,0.0038951138268153345,0.11535983261652064,0.0026582937585545125,0.01367758104409935,0.05684855781014359,0.0,4.928424203661041E-4
53,0.004769964069617555,0.1214581379145365,0.0041427770821887465,0.014271923747859483,0.05661137774054383,0.0,4.928424203661042E-4
54,0.005124386966220799,0.12560341755489832,0.00736797440470409,0.01471578369001105,0.06122794910822601,0.0,4.928424203661042E-4
55,0.005715492032284412,0.14567349566575455,0.005556088188139706,0.016209800747835002,0.06502105958937636,0.0,1.0920061500358909E-5
56,0.005691541376974064,0.16386245629696172,0.006562584697641142,0.019855380733628938,0.07827482899931024,8.795832215313086E-4,5.874551347545545E-4
57,0.006027728474387106,0.19428533608753212,0.008206067286699458,0.021182779930802254,0.08897459574766002,8.795832215313084E-4,9.06825646585603E-4
58,0.0075275910655431925,0.2084750148073836,0.008816299476956906,0.022416483420398012,0.0967387633543352,8.795832215313086E-4,9.06825646585603E-4
