Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize50//,data//output//runtimePerformance//DECMO2++//SolutionSetSize100//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize400//,data//output//runtimePerformance//DECMO2++//SolutionSetSize500//
0,28.68205783414075,29.32547337005759,34.269127869616,36.3209548124357,38.72509768073339,40.24480785564058
1,46.687901222685625,35.639469963805155,34.269127869616,36.3209548124357,38.72509768073339,40.24480785564058
2,59.23767132326048,45.960719473630796,40.562629369721634,36.3209548124357,38.72509768073339,40.24480785564058
3,67.7859026288541,55.02273550873114,40.562629369721634,42.286394656174565,38.72509768073339,40.24480785564058
4,72.37795326289789,62.168996895078685,51.73185133796762,42.286394656174565,44.71513008805716,40.24480785564058
5,75.29357245263802,67.70252533182604,51.73185133796762,42.286394656174565,44.71513008805716,46.47106491074285
6,76.96573660035575,71.94354231512153,60.97289238902511,55.23856093193346,44.71513008805716,46.47106491074285
7,78.11770436310648,74.99050175684525,60.97289238902511,55.23856093193346,44.71513008805716,46.47106491074285
8,78.90202920335622,77.28824887189876,67.77438732905048,55.23856093193346,57.504041351756676,46.47106491074285
9,79.56757883866676,78.74778855311794,67.77438732905048,64.08549780931538,57.504041351756676,46.47106491074285
10,80.07819588702984,79.69929305975154,72.6862070424063,64.08549780931538,57.504041351756676,58.86794436740422
11,80.45388664766335,80.39001793243764,72.6862070424063,64.08549780931538,57.504041351756676,58.86794436740422
12,80.7246173296857,80.88947137350935,76.29801457105751,70.53746564699694,66.35621246718509,58.86794436740422
13,80.91247279597067,81.21809323267146,76.29801457105751,70.53746564699694,66.35621246718509,58.86794436740422
14,80.99142754000705,81.50594178857894,78.83395698899716,70.53746564699694,66.35621246718509,58.86794436740422
15,81.06044523083283,81.71393413999348,78.83395698899716,74.97515618302404,66.35621246718509,67.8509799007612
16,81.10181730718433,81.87637567734107,80.55372404636917,74.97515618302404,72.53969506335888,67.8509799007612
17,81.1537997684242,82.00080523586625,80.55372404636917,74.97515618302404,72.53969506335888,67.8509799007612
18,81.17864744260015,82.12278654925538,81.70612778648974,78.12779409610768,72.53969506335888,67.8509799007612
19,81.15726015524632,82.19742900435732,81.70612778648974,78.12779409610768,72.53969506335888,67.8509799007612
20,81.18476956935653,82.32413847842706,82.40417825334424,78.12779409610768,76.79445440750735,73.74413305379998
21,81.19935426232821,82.39149382163447,82.40417825334424,80.29749052435507,76.79445440750735,73.74413305379998
22,81.20171549371177,82.48960388095418,82.83981393522556,80.29749052435507,76.79445440750735,73.74413305379998
23,81.20648681877724,82.53408603081716,82.83981393522556,80.29749052435507,76.79445440750735,73.74413305379998
24,81.20095071680433,82.62581561145309,83.11341638138465,81.74407538990026,79.5124199182843,73.74413305379998
25,81.21500429144261,82.6368523810006,83.11341638138465,81.74407538990026,79.5124199182843,77.59661898180545
26,81.18876887047058,82.69161146705686,83.30896575890065,81.74407538990026,79.5124199182843,77.59661898180545
27,81.15887897714813,82.71443887302416,83.30896575890065,82.71139140690046,79.5124199182843,77.59661898180545
28,81.1452688365355,82.80022058408977,83.45033588333231,82.71139140690046,81.29882064088672,77.59661898180545
29,81.15666818545986,82.78780970053741,83.45033588333231,82.71139140690046,81.29882064088672,77.59661898180545
30,81.15847709160327,82.86590398113627,83.53791654500611,83.31728499223895,81.29882064088672,80.14339144729593
31,81.14904260068751,82.87412926249456,83.53791654500611,83.31728499223895,81.29882064088672,80.14339144729593
32,81.12773718004998,82.94382483476133,83.63269150706871,83.31728499223895,82.50462434710509,80.14339144729593
33,81.14431995596526,82.96970282989007,83.63269150706871,83.65426259081903,82.50462434710509,80.14339144729593
34,81.12706070312969,83.03895216095592,83.68426719875085,83.65426259081903,82.50462434710509,80.14339144729593
35,81.10390722732427,83.05691146332826,83.68426719875085,83.65426259081903,82.50462434710509,81.80646018637934
36,81.06824758785626,83.12738088954342,83.75070784210764,83.86685394024492,83.3040195811498,81.80646018637934
37,81.09744000544691,83.16662807226767,83.75070784210764,83.86685394024492,83.3040195811498,81.80646018637934
38,81.08873822133711,83.22082466465652,83.79169007884825,83.86685394024492,83.3040195811498,81.80646018637934
39,81.09443659572793,83.24665337300713,83.79169007884825,84.00184139453222,83.3040195811498,81.80646018637934
40,81.08431175317111,83.28113468029902,83.82124497055479,84.00184139453222,83.81109829251365,82.8880513783028
41,81.09735134926697,83.31805189810981,83.82124497055479,84.00184139453222,83.81109829251365,82.8880513783028
42,81.07212810172952,83.34752076351946,83.85991975802295,84.09747841826959,83.81109829251365,82.8880513783028
43,81.10475575153332,83.38181613410639,83.85991975802295,84.09747841826959,83.81109829251365,82.8880513783028
44,81.1037377375991,83.4034919969899,83.87509317378004,84.09747841826959,84.08930649102972,82.8880513783028
45,81.12351818038815,83.42784532246841,83.87509317378004,84.16610791366882,84.08930649102972,83.60555183464894
46,81.08386458121369,83.44548847042212,83.89588958562997,84.16610791366882,84.08930649102972,83.60555183464894
47,81.12546904501127,83.45588267876782,83.89588958562997,84.16610791366882,84.08930649102972,83.60555183464894
48,81.10338328118934,83.46862195485252,83.9179941361594,84.21081077498215,84.2585657197661,83.60555183464894
49,81.10767484325658,83.47847639851123,83.9179941361594,84.21081077498215,84.2585657197661,83.60555183464894
50,81.08528928845918,83.48464000935319,83.92321558269222,84.21081077498215,84.2585657197661,84.06601131686325
51,81.09702142232877,83.48821272003575,83.92321558269222,84.25189428023008,84.2585657197661,84.06601131686325
52,81.0928219779694,83.49133664414636,83.93776785885713,84.25189428023008,84.36932939763417,84.06601131686325
53,81.09479205621282,83.49789711466885,83.93776785885713,84.25189428023008,84.36932939763417,84.06601131686325
54,81.12587395270376,83.50121089873757,83.95077532476311,84.28092564592315,84.36932939763417,84.06601131686325
55,81.1121339503931,83.50016286702994,83.95077532476311,84.28092564592315,84.36932939763417,84.33301429472567
56,81.12203902448135,83.50678221554854,83.9639919409172,84.28092564592315,84.44119831611098,84.33301429472567
57,81.0937633422112,83.50814031582442,83.9639919409172,84.30735827088407,84.44119831611098,84.33301429472567
58,81.09552155082913,83.50962663834696,83.98038461185976,84.30735827088407,84.44119831611098,84.33301429472567
59,81.10938805484346,83.51588023738526,83.98038461185976,84.30735827088407,84.44119831611098,84.33301429472567
60,81.10380460359093,83.5139432327713,83.98358971726223,84.33495659990545,84.49677808194984,84.47627202345699
61,81.0867442327226,83.51315094500023,83.98358971726223,84.33495659990545,84.49677808194984,84.47627202345699
62,81.10393537754328,83.50697525829064,83.99206101264663,84.33495659990545,84.49677808194984,84.47627202345699
63,81.08877088507568,83.50995982794822,83.99206101264663,84.35564207686149,84.49677808194984,84.47627202345699
64,81.10861212944674,83.50960748492629,83.99969395738661,84.35564207686149,84.5392462826984,84.47627202345699
65,81.11302182437113,83.50469885448118,83.99969395738661,84.35564207686149,84.5392462826984,84.56483516037427
66,81.10738738391068,83.50522118873322,84.00531532622392,84.37746052052809,84.5392462826984,84.56483516037427
67,81.08360111755796,83.51098048302332,84.00531532622392,84.37746052052809,84.5392462826984,84.56483516037427
68,81.08127507364435,83.50351210025408,84.01015504567631,84.37746052052809,84.57402978422931,84.56483516037427
69,81.09406510870451,83.50465986081365,84.01015504567631,84.39487066387865,84.57402978422931,84.56483516037427
70,81.10404054316687,83.50403143068169,84.00847123116299,84.39487066387865,84.57402978422931,84.6233833256379
71,81.11817724247337,83.50357367073109,84.00847123116299,84.39487066387865,84.57402978422931,84.6233833256379
72,81.12940234002993,83.49726203345156,84.01234541393657,84.41555765279391,84.60253144548298,84.6233833256379
73,81.13486370768996,83.50089896326796,84.01234541393657,84.41555765279391,84.60253144548298,84.6233833256379
74,81.13513723019636,83.4959271928696,84.02501770270528,84.41555765279391,84.60253144548298,84.6233833256379
75,81.15761523184185,83.48808630976795,84.02501770270528,84.43542239685212,84.60253144548298,84.66728265597024
76,81.15175099676028,83.48891452267198,84.04005532377113,84.43542239685212,84.62183801604274,84.66728265597024
77,81.13104475716648,83.49159996200052,84.04005532377113,84.43542239685212,84.62183801604274,84.66728265597024
78,81.12647384677342,83.48310810776525,84.0440870386545,84.44766771771893,84.62183801604274,84.66728265597024
79,81.11954514467388,83.48021573155779,84.0440870386545,84.44766771771893,84.62183801604274,84.66728265597024
80,81.10908257986752,83.4809044802579,84.0738040994411,84.44766771771893,84.64339143738027,84.69911842788805
81,81.10941448762067,83.47682072032805,84.0738040994411,84.45686929197316,84.64339143738027,84.69911842788805
82,81.12439097260933,83.47487597948383,84.07243400357966,84.45686929197316,84.64339143738027,84.69911842788805
83,81.10280924974869,83.46857654077736,84.07243400357966,84.45686929197316,84.64339143738027,84.69911842788805
84,81.10512663585018,83.46608188463742,84.09593240941702,84.46887210332568,84.65946152873572,84.69911842788805
