Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//
0,0.09718190855545031,0.012610595415269777
1,0.09718190855545031,0.012610595415269777
2,0.10195508048587151,0.19692497331608833
3,0.10195508048587151,0.19692497331608833
4,0.6530070747757282,0.7966621081009089
5,0.6530070747757282,0.7966621081009089
6,1.910730649053264,2.740518553066851
7,1.910730649053264,2.740518553066851
8,5.105582549564754,8.1310878613664
9,5.105582549564754,8.1310878613664
10,10.214865357729119,17.346123864018587
11,10.214865357729119,17.346123864018587
12,16.87134372881779,27.40911381925677
13,16.87134372881779,27.40911381925677
14,24.26470125775276,38.018648277542525
15,24.26470125775276,38.018648277542525
16,30.523709558595147,47.17136712700321
17,30.523709558595147,47.17136712700321
18,37.3938430277531,56.18001297216693
19,37.3938430277531,56.18001297216693
20,42.62869290193577,64.65469531982271
21,42.62869290193577,64.65469531982271
22,48.33342978105115,71.63284283073381
23,48.33342978105115,71.63284283073381
24,54.099266552652495,77.63417140301766
25,54.099266552652495,77.63417140301766
26,58.90361707836947,82.59033187407223
27,58.90361707836947,82.59033187407223
28,63.011183796005696,86.72299663810925
29,63.011183796005696,86.72299663810925
30,66.82624478945834,89.78806608244895
31,66.82624478945834,89.78806608244895
32,70.38132222258461,92.07527721144685
33,70.38132222258461,92.07527721144685
34,73.65494668559333,94.03554911727129
35,73.65494668559333,94.03554911727129
36,76.73362294048844,95.35520994184267
37,76.73362294048844,95.35520994184267
38,79.39227707106305,96.35526886103162
39,79.39227707106305,96.35526886103162
40,81.65608076457058,97.0807824364126
41,81.65608076457058,97.0807824364126
42,83.73570685603087,97.72168570132098
43,83.73570685603087,97.72168570132098
44,85.55499685836341,98.15513913355497
45,85.55499685836341,98.15513913355497
46,87.16855908450196,98.4931887796287
47,87.16855908450196,98.4931887796287
48,88.63528874177634,98.73764079552619
49,88.63528874177634,98.73764079552619
50,89.90942986898087,98.94914411365926
51,89.90942986898087,98.94914411365926
52,91.03818541639646,99.09909729879365
53,91.03818541639646,99.09909729879365
54,92.07801184830416,99.22165525276326
55,92.07801184830416,99.22165525276326
56,92.98699887308996,99.32791746552685
57,92.98699887308996,99.32791746552685
58,93.74470915438614,99.40774976231657
59,93.74470915438614,99.40774976231657
60,94.37970533707761,99.47428362614372
61,94.37970533707761,99.47428362614372
62,94.95526819127997,99.53410729413908
63,94.95526819127997,99.53410729413908
64,95.48033665100968,99.58438854506494
65,95.48033665100968,99.58438854506494
66,95.9219493444274,99.61688329132674
67,95.9219493444274,99.61688329132674
68,96.31044357402982,99.64609152113988
69,96.31044357402982,99.64609152113988
70,96.67205267727662,99.67526534480893
71,96.67205267727662,99.67526534480893
72,97.0008169463324,99.70013108106299
73,97.0008169463324,99.70013108106299
74,97.29326833068743,99.72003148966897
75,97.29326833068743,99.72003148966897
76,97.55437983718,99.73708002084462
77,97.55437983718,99.73708002084462
78,97.79185429505536,99.75234337245224
79,97.79185429505536,99.75234337245224
80,98.00996190696425,99.76735575981678
81,98.00996190696425,99.76735575981678
82,98.17468591381639,99.77348358725187
83,98.17468591381639,99.77348358725187
84,98.33737346146522,99.7815682316084
85,98.33737346146522,99.7815682316084
86,98.46239621538444,99.7897142301092
87,98.46239621538444,99.7897142301092
88,98.58750085324274,99.79681473840394
89,98.58750085324274,99.79681473840394
90,98.69179265968464,99.80336691843708
91,98.69179265968464,99.80336691843708
92,98.7859459554587,99.80994698836552
93,98.7859459554587,99.80994698836552
94,98.88132461233752,99.81537284651873
95,98.88132461233752,99.81537284651873
96,98.95860907204391,99.82229718477568
97,98.95860907204391,99.82229718477568
98,99.03388276446995,99.82808097596693
99,99.03388276446995,99.82808097596693
100,99.10698384580982,99.83027051976502
101,99.10698384580982,99.83027051976502
102,99.17125304069151,99.83369727649452
103,99.17125304069151,99.83369727649452
104,99.2240200467087,99.83550984653397
105,99.2240200467087,99.83550984653397
106,99.2716109762512,99.83726261338083
107,99.2716109762512,99.83726261338083
108,99.31415494652954,99.83890314428422
109,99.31415494652954,99.83890314428422
110,99.35467468428125,99.84291702535369
111,99.35467468428125,99.84291702535369
112,99.38647861671888,99.84303749964582
113,99.38647861671888,99.84303749964582
114,99.42011015316028,99.84554411642237
115,99.42011015316028,99.84554411642237
116,99.45192211242647,99.84659844464697
117,99.45192211242647,99.84659844464697
118,99.47851355754668,99.84873932219323
119,99.47851355754668,99.84873932219323
120,99.50276969512757,99.84821987797257
121,99.50276969512757,99.84821987797257
122,99.5317521518899,99.85043190951532
123,99.5317521518899,99.85043190951532
124,99.55562142533998,99.84987769528358
125,99.55562142533998,99.84987769528358
126,99.58069194800352,99.85218460044229
127,99.58069194800352,99.85218460044229
128,99.60159514348598,99.8505893032825
129,99.60159514348598,99.8505893032825
130,99.61865321099715,99.85322494210806
131,99.61865321099715,99.85322494210806
132,99.63279136183588,99.85627352950286
133,99.63279136183588,99.85627352950286
134,99.64681670054978,99.85674747997528
135,99.64681670054978,99.85674747997528
136,99.66491133993378,99.85496554637865
137,99.66491133993378,99.85496554637865
138,99.67852186851817,99.85705132608834
139,99.67852186851817,99.85705132608834
140,99.69392505754014,99.85680189075488
141,99.69392505754014,99.85680189075488
142,99.70652797877477,99.85911306380541
143,99.70652797877477,99.85911306380541
144,99.71719166319441,99.8593093727112
145,99.71719166319441,99.8593093727112
146,99.72816520082198,99.86113633624122
147,99.72816520082198,99.86113633624122
148,99.73888804596906,99.86138682205389
149,99.73888804596906,99.86138682205389
150,99.74747979794111,99.86454634327042
151,99.74747979794111,99.86454634327042
152,99.756148938803,99.86477669893374
153,99.756148938803,99.86477669893374
154,99.76550796111067,99.86502475172304
155,99.76550796111067,99.86502475172304
156,99.77366690183582,99.86656712415393
157,99.77366690183582,99.86656712415393
158,99.78132907387004,99.8671899343768
159,99.78132907387004,99.8671899343768
160,99.78887618421163,99.86705150602597
161,99.78887618421163,99.86705150602597
162,99.79511976952725,99.86838265269905
163,99.79511976952725,99.86838265269905
164,99.80129800678112,99.86875832284261
165,99.80129800678112,99.86875832284261
166,99.80673432956075,99.87150657470927
167,99.80673432956075,99.87150657470927
168,99.81146192852346,99.87128889896526
169,99.81146192852346,99.87128889896526
170,99.81742906948094,99.87225605785648
171,99.81742906948094,99.87225605785648
172,99.82241240025185,99.8727220874408
173,99.82241240025185,99.8727220874408
174,99.82687348537475,99.87522714562859
175,99.82687348537475,99.87522714562859
176,99.83130076431081,99.87592552182672
177,99.83130076431081,99.87592552182672
178,99.83560267345364,99.87702155047944
179,99.83560267345364,99.87702155047944
180,99.83895829313096,99.87716941093029
181,99.83895829313096,99.87716941093029
182,99.84311760416352,99.87718719487285
183,99.84311760416352,99.87718719487285
184,99.84639913756841,99.87706693893436
185,99.84639913756841,99.87706693893436
186,99.85056105780778,99.87829923170793
187,99.85056105780778,99.87829923170793
188,99.85268842835134,99.87923640997352
189,99.85268842835134,99.87923640997352
190,99.85550230985234,99.88167240642666
191,99.85550230985234,99.88167240642666
192,99.85857868433186,99.88312270168085
193,99.85857868433186,99.88312270168085
194,99.86237801640969,99.8834650735374
