Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.01999495002249822
13,0.0,0.0,0.01999495002249822
14,0.0,0.0,0.0950514810716001
15,0.0,0.0,0.0950514810716001
16,0.0,0.022576959610407343,0.6735843924009911
17,0.0,0.022576959610407343,0.6735843924009911
18,0.05060456627076541,0.40163772625069516,2.0080723560766685
19,0.05060456627076541,0.40163772625069516,2.0080723560766685
20,0.09209836203882982,0.7735048881297797,4.197732464230701
21,0.09209836203882982,0.7735048881297797,4.197732464230701
22,0.18914396611351694,1.8901469996109623,8.008964748068802
23,0.18914396611351694,1.8901469996109623,8.008964748068802
24,0.42649102948599976,3.647993968861941,12.573317849238721
25,0.42649102948599976,3.647993968861941,12.573317849238721
26,1.0780030076905476,6.260532348783135,17.625851579029376
27,1.0780030076905476,6.260532348783135,17.625851579029376
28,1.7077354062645056,9.699699660441354,23.062072504440557
29,1.7077354062645056,9.699699660441354,23.062072504440557
30,2.980870849383799,13.570358938489472,28.643275282575527
31,2.980870849383799,13.570358938489472,28.643275282575527
32,5.042590317100285,18.0135476735222,34.13348989207932
33,5.042590317100285,18.0135476735222,34.13348989207932
34,6.926539486282277,22.351397772729655,38.54480534925003
35,6.926539486282277,22.351397772729655,38.54480534925003
36,9.219784097691573,26.987961156116715,42.72704935121185
37,9.219784097691573,26.987961156116715,42.72704935121185
38,12.045970173086541,31.672737067088462,46.769753742447094
39,12.045970173086541,31.672737067088462,46.769753742447094
40,15.387594518114337,35.861895474110504,50.28118743640119
41,15.387594518114337,35.861895474110504,50.28118743640119
42,18.88735389126132,39.94830502306742,53.64593876216806
43,18.88735389126132,39.94830502306742,53.64593876216806
44,22.515384785617936,43.40749363079411,56.69185265670562
45,22.515384785617936,43.40749363079411,56.69185265670562
46,25.970678061718978,46.70390875573339,59.600674044036204
47,25.970678061718978,46.70390875573339,59.600674044036204
48,28.916409177013218,49.694999758371345,62.04072823725914
49,28.916409177013218,49.694999758371345,62.04072823725914
50,31.972159214255957,52.41201823844216,64.19986139235482
51,31.972159214255957,52.41201823844216,64.19986139235482
52,35.0344163654087,55.25015127718203,66.23697478956184
53,35.0344163654087,55.25015127718203,66.23697478956184
54,37.7828348450415,57.58638793595894,67.98620260023775
55,37.7828348450415,57.58638793595894,67.98620260023775
56,40.59701284854421,59.750098665265796,69.66180070724548
57,40.59701284854421,59.750098665265796,69.66180070724548
58,43.037807683838864,61.94362148942651,71.20702287427056
59,43.037807683838864,61.94362148942651,71.20702287427056
60,45.37883071373619,64.04918020194499,72.5247748813099
61,45.37883071373619,64.04918020194499,72.5247748813099
62,47.94007721414723,65.76412049470156,73.75500081682888
63,47.94007721414723,65.76412049470156,73.75500081682888
64,50.4321270093004,67.3181123103046,74.90006627328083
65,50.4321270093004,67.3181123103046,74.90006627328083
66,52.377675059184284,68.79046169583226,75.96436433262011
67,52.377675059184284,68.79046169583226,75.96436433262011
68,54.23889017787709,70.1807219302289,76.87503512786016
69,54.23889017787709,70.1807219302289,76.87503512786016
70,56.1742442781244,71.44023485979132,77.7505123616068
71,56.1742442781244,71.44023485979132,77.7505123616068
72,57.817631146669335,72.55962672848017,78.4842733350816
73,57.817631146669335,72.55962672848017,78.4842733350816
74,59.42015876012956,73.57403584747239,79.1978495246485
75,59.42015876012956,73.57403584747239,79.1978495246485
76,60.91939443326269,74.50955630752466,79.86373073273391
77,60.91939443326269,74.50955630752466,79.86373073273391
78,62.34147020222878,75.42156480739506,80.4562724293875
79,62.34147020222878,75.42156480739506,80.4562724293875
80,63.58992136420319,76.30678993173316,81.03094329776157
81,63.58992136420319,76.30678993173316,81.03094329776157
82,64.8930137128328,77.08692225665501,81.58493333779465
83,64.8930137128328,77.08692225665501,81.58493333779465
84,66.07467780988814,77.80499497342447,82.0579794637258
85,66.07467780988814,77.80499497342447,82.0579794637258
86,67.26520745799569,78.46004745625653,82.51563395488202
87,67.26520745799569,78.46004745625653,82.51563395488202
88,68.34162428776492,79.07040927501708,82.94945348046926
89,68.34162428776492,79.07040927501708,82.94945348046926
90,69.3334299841431,79.67677449577815,83.37441931856047
91,69.3334299841431,79.67677449577815,83.37441931856047
92,70.26088470812918,80.19731548019061,83.7149956864142
93,70.26088470812918,80.19731548019061,83.7149956864142
94,71.11929635377285,80.71629269007636,84.07908046435585
95,71.11929635377285,80.71629269007636,84.07908046435585
96,71.93605643653845,81.19674105895855,84.3883639499587
97,71.93605643653845,81.19674105895855,84.3883639499587
98,72.69416430004526,81.61105100365255,84.66525449788499
99,72.69416430004526,81.61105100365255,84.66525449788499
100,73.44144158892148,82.02960983901954,84.9522893868643
101,73.44144158892148,82.02960983901954,84.9522893868643
102,74.16346933938284,82.42589902971937,85.191875308598
103,74.16346933938284,82.42589902971937,85.191875308598
104,74.8836673456727,82.8247717653406,85.43566785865532
105,74.8836673456727,82.8247717653406,85.43566785865532
106,75.62479339598865,83.16129626210972,85.66819661206412
107,75.62479339598865,83.16129626210972,85.66819661206412
108,76.26450594524752,83.50451516904272,85.87398150259757
109,76.26450594524752,83.50451516904272,85.87398150259757
110,76.90427516878842,83.82181288887851,86.0891849215538
111,76.90427516878842,83.82181288887851,86.0891849215538
112,77.5222085263808,84.1009717831423,86.27339131049686
113,77.5222085263808,84.1009717831423,86.27339131049686
