Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.035485920362333084,0.0
1,0.035485920362333084,0.0
2,0.035485920362333084,0.022600114837660445
3,0.3483128334652659,0.022600114837660445
4,0.5297377698722376,0.7100610308304005
5,0.8449176089064352,0.7100610308304005
6,1.3210424649519195,3.835645348368118
7,2.3238699994320102,3.835645348368118
8,3.5336223301325687,9.630116615689701
9,5.26002625328558,9.630116615689701
10,6.825587158683597,17.563944493073173
11,8.979833664698251,17.563944493073173
12,11.47611425068989,26.295791873916492
13,13.43410755514678,26.295791873916492
14,15.43332914053582,33.80109840657227
15,18.2820577059773,33.80109840657227
16,20.21790432704689,40.38530420778461
17,21.364458984891083,40.38530420778461
18,22.531424632831325,45.615772781058524
19,24.314499076832274,45.615772781058524
20,25.61314048122239,50.389973698073945
21,26.689261528255038,50.389973698073945
22,28.087544317060452,54.573144297811595
23,29.642459654217788,54.573144297811595
24,31.060712370595766,57.97954283666864
25,32.49584703380579,57.97954283666864
26,33.67077870770596,61.14157719091141
27,34.87010724895835,61.14157719091141
28,36.08150713039575,64.19347511743136
29,37.42712456094439,64.19347511743136
30,38.26866274548915,66.88682605970793
31,39.3036110019163,66.88682605970793
32,40.40985788195378,69.29432497614873
33,41.422420942832545,69.29432497614873
34,42.58467755309345,71.60365651453093
35,43.6758512894137,71.60365651453093
36,44.698278598465734,73.59855667167899
37,45.422423526045996,73.59855667167899
38,46.38050133304572,75.40531788155661
39,47.52271439043265,75.40531788155661
40,48.65249303166612,77.01867706758091
41,49.614781035238366,77.01867706758091
42,50.188800965144885,78.62374537299499
43,51.150572525911265,78.62374537299499
44,51.903734613994544,80.02228033528118
45,52.65772799586742,80.02228033528118
46,53.518845726561146,81.3880124860619
47,54.33393174110237,81.3880124860619
48,55.09119917937423,82.54125316166433
49,55.79853891367114,82.54125316166433
50,56.61588641509739,83.64245595355099
51,57.24795008181979,83.64245595355099
52,57.993611968867484,84.65021306000091
53,58.7000032729624,84.65021306000091
54,59.42087097145947,85.48797539526781
55,60.20421738374139,85.48797539526781
56,60.873387167933046,86.26619325833525
57,61.52976032889147,86.26619325833525
58,62.32763540854228,87.04808240240729
59,62.91774016771639,87.04808240240729
60,63.52752881415496,87.76633013913974
61,64.17786431860864,87.76633013913974
62,64.7707806876041,88.41715306507008
63,65.43832069708347,88.41715306507008
64,66.03645222418751,89.02403963494017
65,66.71548683751823,89.02403963494017
66,67.30571305937731,89.52453270139769
67,67.87552870886537,89.52453270139769
68,68.43177297701122,90.04035864001948
69,68.9908554548582,90.04035864001948
70,69.57119158682211,90.46841401456241
71,70.16844589337737,90.46841401456241
72,70.67233088985869,90.89723377229234
73,71.17522969776878,90.89723377229234
74,71.62002752000124,91.22753212677668
75,72.12766267137559,91.22753212677668
76,72.55792659383162,91.5742927091317
77,73.06518739992181,91.5742927091317
78,73.50237932460253,91.84448043871949
79,73.92066393136872,91.84448043871949
80,74.39455255638808,92.17305779897185
81,74.7731727750874,92.17305779897185
82,75.14722450557292,92.42470156441611
83,75.5690045991493,92.42470156441611
84,75.98545491885417,92.71361945099514
85,76.33589546794506,92.71361945099514
86,76.71352170254569,92.91985054672152
87,77.08871920707229,92.91985054672152
88,77.43065248784202,93.19378528357412
89,77.8002709384789,93.19378528357412
90,78.14937158745148,93.35927064924184
91,78.4709580121464,93.35927064924184
92,78.79112592450072,93.56690966420344
93,79.11380208115186,93.56690966420344
94,79.45245303030978,93.71256597232225
95,79.7997945675805,93.71256597232225
96,80.11936924655424,93.92520392574724
97,80.3785864504865,93.92520392574724
98,80.71509988689478,94.06126819912753
99,80.97569657938479,94.06126819912753
100,81.2572317906622,94.20942986973121
101,81.55081183009911,94.20942986973121
102,81.79182679587794,94.33695234564733
103,82.04164828018264,94.33695234564733
104,82.33940589557507,94.50603837650216
105,82.52745887367827,94.50603837650216
106,82.77792522257805,94.61333277889827
107,82.97600908780905,94.61333277889827
108,83.19376903766776,94.76160655900239
109,83.41968001147289,94.76160655900239
110,83.67663271099822,94.85137152524749
111,83.92545312258156,94.85137152524749
112,84.195136404063,94.97263856660567
113,84.38578061540132,94.97263856660567
114,84.59490425270023,95.06936190385302
115,84.81348240974165,95.06936190385302
116,85.03875434180752,95.18359340189825
117,85.22598837516705,95.18359340189825
118,85.41425510474849,95.2734041526488
119,85.59437013688108,95.2734041526488
120,85.80530387223934,95.36903984942992
121,86.0009545792092,95.36903984942992
122,86.21333813004496,95.45305170472534
123,86.40467057007402,95.45305170472534
124,86.59174725723754,95.550048306762
125,86.77267296371153,95.550048306762
126,86.94761635102971,95.63073686420482
127,87.10446724100005,95.63073686420482
128,87.27260461076246,95.71506930082167
129,87.41427555757983,95.71506930082167
130,87.62736037167707,95.78375121363037
131,87.77313034840702,95.78375121363037
132,87.95090947485342,95.86569172448216
133,88.12553381631986,95.86569172448216
134,88.29456116636533,95.92878473655993
135,88.44632589165147,95.92878473655993
136,88.63865924390747,96.01209248196898
137,88.78449140149085,96.01209248196898
138,88.9575378258348,96.08113692675477
139,89.0606009099136,96.08113692675477
140,89.1959205567166,96.13736672342667
141,89.34693426778936,96.13736672342667
142,89.47077514066332,96.19467507154047
143,89.62378730025554,96.19467507154047
144,89.75712961810203,96.2623847709957
145,89.89104067124948,96.2623847709957
146,90.0089229819233,96.33041550762161
147,90.11950897508693,96.33041550762161
148,90.23094738792442,96.38177815064513
149,90.38616525039525,96.38177815064513
150,90.49551633905618,96.44305513034918
151,90.59664625317583,96.44305513034918
152,90.72111188749135,96.50540646004617
153,90.85001174299607,96.50540646004617
154,90.96852043419229,96.56335265997642
155,91.06871176903792,96.56335265997642
156,91.17841727818357,96.61308369261093
157,91.2772250612614,96.61308369261093
158,91.38752776660405,96.658627196905
159,91.48922051960068,96.658627196905
160,91.57341218183886,96.71241135747916
161,91.67674846625542,96.71241135747916
162,91.76107235389127,96.76587394142527
163,91.84903669630178,96.76587394142527
164,91.94690217841854,96.82382296703945
165,92.03776145449974,96.82382296703945
166,92.11665954671086,96.87031360851375
167,92.20830001337308,96.87031360851375
168,92.31512751246554,96.92595215558698
169,92.39067842999125,96.92595215558698
170,92.47154217549388,96.96950057086465
171,92.53874195019064,96.96950057086465
172,92.62128241707825,97.01175470344518
173,92.69385992028133,97.01175470344518
174,92.76891898861885,97.04498188832018
175,92.85785445059197,97.04498188832018
176,92.94473276412064,97.08543129264297
177,93.01907364763774,97.08543129264297
178,93.07842029802573,97.1231714188412
179,93.16617557742372,97.1231714188412
180,93.23399099175231,97.16814919718489
181,93.30299518022,97.16814919718489
182,93.38507490445788,97.20768014505126
183,93.44449396092337,97.20768014505126
184,93.51041308316098,97.24638629751644
185,93.5757379774019,97.24638629751644
186,93.6332938539266,97.27967259455606
187,93.69674271165535,97.27967259455606
188,93.75124712161376,97.32364059920253
189,93.8097899531862,97.32364059920253
190,93.86320154893794,97.35372158341806
191,93.92513246431521,97.35372158341806
192,93.98341420830226,97.38637947783272
193,94.04310246974325,97.38637947783272
194,94.10610226857608,97.41356049243372
195,94.16814456489986,97.41356049243372
196,94.2209362640111,97.44533270712493
197,94.27500497203206,97.44533270712493
198,94.33712602241917,97.47824056544862
199,94.38682335526988,97.47824056544862
200,94.44197928569892,97.50948313992248
201,94.50441454560975,97.50948313992248
202,94.55259480116558,97.54564296668285
203,94.60338227855088,97.54564296668285
204,94.65954311906462,97.58061951874745
205,94.69644005682422,97.58061951874745
206,94.74726461390728,97.61563201578582
207,94.79983445989019,97.61563201578582
208,94.84614120207728,97.6449639966562
209,94.89125389917874,97.6449639966562
210,94.93446374716837,97.6723600500011
211,94.96540899661849,97.6723600500011
212,95.0046247916748,97.70181859085083
213,95.04489951640845,97.70181859085083
214,95.08312346305793,97.72258835659478
215,95.13023283783066,97.72258835659478
216,95.1693987463077,97.75055204011585
217,95.20005626384426,97.75055204011585
218,95.23634327714997,97.77242733919361
219,95.27329106757378,97.77242733919361
220,95.31201437560009,97.80398041615551
221,95.34881538051415,97.80398041615551
222,95.38002725738058,97.82113726466872
223,95.41602982521762,97.82113726466872
224,95.45491441645991,97.84231264217397
225,95.49129094085495,97.84231264217397
226,95.52652863027048,97.86100909016966
227,95.55997237492258,97.86100909016966
228,95.59099934335374,97.88293024548359
229,95.61662922726337,97.88293024548359
230,95.64912359417993,97.9032697527898
231,95.67816767435083,97.9032697527898
232,95.71002597888277,97.9246513140722
233,95.7453173513429,97.9246513140722
234,95.77718443394514,97.94366488453356
235,95.80992976649426,97.94366488453356
236,95.84283413982057,97.96301104944641
237,95.87331803361384,97.96301104944641
238,95.90441349906543,97.98271397774425
239,95.93255794024,97.98271397774425
240,95.96079567164006,98.00569106288519
241,95.99228309088278,98.00569106288519
242,96.01981538452391,98.02711643256536
243,96.05168001978186,98.02711643256536
244,96.0822274740688,98.04865907225303
245,96.107794423799,98.04865907225303
246,96.13081863240873,98.06682161005344
247,96.15687944268133,98.06682161005344
248,96.18501069964437,98.0865419444273
249,96.20974351679118,98.0865419444273
250,96.23286415390969,98.09905449584612
251,96.25951072346993,98.09905449584612
252,96.28572990725907,98.12362618445934
253,96.30536171126073,98.12362618445934
254,96.33305756596815,98.13699299439565
255,96.35918194306444,98.13699299439565
256,96.39304219144405,98.15535913691774
257,96.4243771675505,98.15535913691774
258,96.45079999545862,98.16924588891494
259,96.4775810495649,98.16924588891494
260,96.50114366674461,98.19121810117119
261,96.52128205988208,98.19121810117119
262,96.5464391741727,98.20210746906308
263,96.5698951737973,98.20210746906308
264,96.5928123384941,98.21629222155464
265,96.61301117630792,98.21629222155464
266,96.62964245941396,98.22888301526763
267,96.64761320010791,98.22888301526763
268,96.66863813925916,98.24059767724563
269,96.68458575479816,98.24059767724563
270,96.70472347634504,98.2524267929043
271,96.7204077795698,98.2524267929043
272,96.73812698632092,98.2684902510132
273,96.76108820623467,98.2684902510132
274,96.77553583187603,98.28028748681268
275,96.79631884228347,98.28028748681268
276,96.81859690357142,98.29349686946516
277,96.83501974999703,98.29349686946516
278,96.85330529069742,98.30588728316538
279,96.8712012915453,98.30588728316538
280,96.88754997714916,98.3163338932321
281,96.90915984819021,98.3163338932321
282,96.9239964959773,98.32911984766353
283,96.93670400608563,98.32911984766353
284,96.95626685215021,98.34313787827254
285,96.9714031208489,98.34313787827254
286,96.9889377683774,98.35704830478427
287,97.0024774761349,98.35704830478427
288,97.01833508110103,98.36668818164638
289,97.03000494386602,98.36668818164638
