Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
60,76.55660027641837,71.90396053119753,77.61230501307793,77.02042058146442
61,76.66052953218625,71.99661381789234,77.74372818371195,77.21870902167993
62,76.79287279964245,72.24765366614417,77.90310393481525,77.40495138073773
63,76.88921752373314,72.33776447953726,78.02666820198642,77.59547489552753
64,77.01672910300887,72.57574127551243,78.17734171529749,77.78139521437411
65,77.1119760281306,72.66076874319488,78.2940903498129,77.95738972929813
66,77.232008234636,72.88962397223834,78.43408641029886,78.13686259802228
67,77.32051885084788,72.97328111077591,78.5442070893749,78.31103995214566
68,77.43398328968708,73.19370454764136,78.67731742600567,78.47457192469442
69,77.52155223280141,73.27328765450349,78.78371312110228,78.64394594740766
70,77.63024157829159,73.47657571680952,78.90893351516466,78.80878894714579
71,77.71112192877905,73.5528578812139,79.00848488546414,78.96534856305387
72,77.81419084397743,73.75265000947337,79.12858341758795,79.12295667645002
73,77.8964400541021,73.82656642373671,79.2229853027259,79.27951231844403
74,77.99532311776714,74.01696893880045,79.33640011952413,79.42712514895453
75,78.07089682279234,74.08589221677217,79.4257545012408,79.58112597531837
76,78.1668136595486,74.26772893693152,79.53393058213611,79.73224541548126
77,78.241841367094,74.33397475452809,79.62231730909058,79.87476334411218
78,78.33450533928122,74.50877826210493,79.72581347837854,80.01787323720552
79,78.40445556266616,74.57129053950882,79.80873959336061,80.15990152035009
80,78.49239117717755,74.73835723653588,79.90708411335514,80.29459641311641
81,78.562839009116,74.79853216312941,79.9862173988219,80.43198107836402
82,78.64680923389193,74.96053635648047,80.08075964637898,80.56669526030302
83,78.71423521626859,75.01789173686115,80.15604829457537,80.69404614629659
84,78.79392925839973,75.17161841757616,80.24611562847737,80.82383935203725
85,78.86054451904307,75.2261955835543,80.32027891579658,80.95198876914004
86,78.93961656152132,75.37393840644825,80.40587784732362,81.07154489982986
87,79.00181603320233,75.42587677852133,80.47446051880337,81.19459224570896
88,79.07774030431035,75.57004240980532,80.55687011019879,81.31584357317135
89,79.14108765854495,75.61968964702154,80.62358125701753,81.42919610902891
90,79.21369053537312,75.75776792533819,80.70275633762571,81.54638293008723
91,79.27195358686805,75.80516913144405,80.76824832933153,81.66022123221435
92,79.34276180462751,75.93942346523123,80.84550839115806,81.76787600379897
93,79.40275541800818,75.98398814936584,80.90749288056816,81.88298111274231
94,79.47128078427696,76.11260954650487,80.98117110851922,81.99452848278932
95,79.52754801344712,76.15649101954354,81.04267144692727,82.09971450311689
96,79.59208784975291,76.28180823769229,81.11405362266991,82.20709522388054
97,79.64710903212006,76.32283074412247,81.17327359423288,82.31333895658389
98,79.71105246333488,76.44203651557045,81.24104231501316,82.41316390386193
99,79.76372579472587,76.48197576683462,81.29738072604724,82.51456132321744
100,79.82403803317567,76.60002526494922,81.36402509490549,82.61522561497274
101,79.87464619427382,76.63785592087446,81.41893102619419,82.70961954075628
102,79.93430392146847,76.75396152662337,81.48309723380322,82.80706852625848
103,79.9837396875273,76.79034293427145,81.53632680737583,82.90405494200323
104,80.04107969847043,76.90002626518303,81.59793448517394,82.99387726227398
105,80.09005383761034,76.93479944277034,81.64898366116107,83.08578992956298
106,80.14640309893639,77.04146697194815,81.709419622797,83.1762043549548
107,80.19290894728118,77.07366555076624,81.76071106499634,83.26172383771214
108,80.24809843645599,77.17692808929682,81.8197591773523,83.34975681662786
109,80.29448986277008,77.20885475471678,81.86782427198422,83.437248417433
110,80.34791212634987,77.30794615209143,81.92307544425157,83.51779488493531
111,80.39144701086128,77.33908656138793,81.96999858032405,83.60480056538889
112,80.44384849820177,77.43805175719659,82.02437184748052,83.68967473533836
113,80.48738986479496,77.46728820146811,82.0702482913406,83.76901146738902
114,80.53898069154799,77.56339003785851,82.12362651557407,83.85150457518687
115,80.58190935984454,77.59228518707624,82.1676004884382,83.93173169548172
