Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,4.1889480018964437E-4,0.0,0.0,0.0,0.0,0.0
19,0.004798111734605134,0.0,0.0,0.0,0.0,0.0
20,0.02548712642966431,0.0,0.0,0.0,0.0,0.0
21,0.06170926160253235,0.0,0.0,0.0,0.0,0.0
22,0.12248817764404935,0.0,0.0,0.0,0.0,0.0
23,0.23474318806723576,0.0,0.0,0.0,0.0,0.0
24,0.4705630473504664,0.004432880861264576,0.0,0.0,0.0,0.0
25,0.8019265596671994,0.006617184825537525,0.0,0.0,0.0,0.0
26,1.1679156951333085,0.026334134778299878,0.0,0.0,0.0,0.0
27,1.7786481147354327,0.038532189273894416,0.0,0.0,0.0,0.0
28,2.6710756305154546,0.06151467611463235,0.0,0.0,0.0,0.0
29,3.597102355959713,0.08862911075665156,0.0,0.0,0.0,0.0
30,4.858406079566517,0.16756944203187274,0.0,0.0,0.0,0.0
31,6.445189069784899,0.2519784842844315,0.0,0.0,0.0,0.0
32,8.106840549001156,0.40172902194351345,0.0,0.0,0.0,0.0
33,9.954463820127424,0.59525061657726,0.0,0.0,0.0,0.0
34,11.815557546384898,0.866591526595568,0.0,0.0,0.0,0.0
35,13.864851954276968,1.2372092803838972,0.0,0.0,0.0,0.0
36,16.327426133672823,1.702801737526041,0.0,0.0,0.0,0.0
37,18.877490062117225,2.217219688322174,0.0,0.0,0.0,0.0
38,21.602963872591673,2.837542580806534,0.0,0.0,0.0,0.0
39,24.218259477220403,3.6496926124832583,0.0,0.0,0.0,0.0
40,26.618682239257062,4.426194122855571,0.0,0.0,0.0,0.0
41,29.249834902702137,5.31774654441341,0.0,0.0,0.0,0.0
42,31.60645698518392,6.560873346914989,0.0,0.0,0.0,0.0
43,34.074025985995405,7.824640873999996,0.0,0.0,0.0,0.0
44,36.53762953029339,9.201552649727864,0.0,0.0,0.0,0.0
45,38.77185546284319,10.605450618978455,0.0,0.0,0.0,0.0
46,41.22681657298235,12.014596396030932,0.013507334105503354,0.0,0.0,0.0
47,43.532560064204155,13.505365627927905,0.013507334105503354,0.0,0.0,0.0
48,45.54834711078663,15.307956254525253,0.04891459519598343,0.0,0.0,0.0
49,47.52986704532957,17.06058448034842,0.04891459519598343,0.0,0.0,0.0
50,49.63241423755886,18.809414254877943,0.1626299047276561,0.0,0.0,0.0
51,51.564491486297335,20.62063236563292,0.1626299047276561,0.0,0.0,0.0
52,53.3923753706333,22.416823394715127,0.38729734957695683,0.0,0.0,0.0
53,55.08634437621151,24.260907855149725,0.38729734957695683,0.0,0.0,0.0
54,56.63636392957233,26.159298100525923,0.7998495763275912,0.0,0.0,0.0
55,58.19397287026703,28.17249203983114,0.7998495763275912,0.0,0.0,0.0
56,59.799133371476586,30.220105116304623,1.3433158122595412,0.0,0.0,0.0
57,61.3797846904096,32.25266024786509,1.3433158122595412,0.0,0.0,0.0
58,62.95585259023141,34.460995601738645,2.0835976181413782,0.0,0.0,0.0
59,64.42790241041409,36.35699445975891,2.0835976181413782,0.0,0.0,0.0
60,65.7394377459394,38.298080964689234,2.963410785556485,0.0,0.0,0.0
61,67.0365936639034,40.306158212764075,2.963410785556485,0.0,0.0,0.0
62,68.18256589923965,42.41832323519131,4.145901406155531,0.0,0.0,0.0
63,69.35942777256709,44.275867270129446,4.145901406155531,0.014793315175657913,0.0,0.0
64,70.52850075374812,46.23556846429917,5.44782783138981,0.014793315175657913,0.0,0.0
65,72.14032698819852,48.11405832900457,5.44782783138981,0.014793315175657913,0.0,0.0
66,73.28413610093237,49.87204817957876,6.995678902247236,0.05526089423570637,0.0,0.0
67,74.48507569464472,51.56678008130014,6.995678902247236,0.05526089423570637,0.0,0.0
