Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
257,98.43263868469708,96.78176673008261
258,98.43316424689941,96.78207983148475
259,98.43377187923863,96.78241007166469
260,98.43426751347923,96.78273122650995
261,98.43476438532305,96.783048878188
262,98.43527569376697,96.78336713786997
263,98.43570965164824,96.78369325989757
264,98.43629247441807,96.78399051393156
265,98.43686052142172,96.78429706547932
266,98.4373285589066,96.7845961354589
267,98.43790553994039,96.78487786378217
268,98.43846178456718,96.78516977672915
269,98.43890347523309,96.78546342301078
270,98.43939352978948,96.78573611484026
271,98.43991524558935,96.7860255831828
272,98.4404506488971,96.78631331049819
273,98.44093586300045,96.78661489741837
274,98.44137220676872,96.78688394429456
275,98.44195439399961,96.78717340214898
276,98.44233855605998,96.78744892472552
277,98.44289705611534,96.78773449353356
278,98.44335996563775,96.78799676464139
279,98.44377520936737,96.78825388726185
280,98.4442768745629,96.78850499409998
281,98.44471319884941,96.78876393190382
282,98.4452083495249,96.78901913698536
283,98.44560876346965,96.7892887477779
284,98.44610643761565,96.78954609554539
285,98.44654750338346,96.78979119553098
286,98.44695903614206,96.79004087126582
287,98.4473712329078,96.79029066793939
288,98.44787982218604,96.79054012443054
289,98.44829394191197,96.79077411088005
290,98.44869351827249,96.79105075170337
291,98.44909748891791,96.79129545372479
292,98.4495336606318,96.79152393460262
293,98.449923375121,96.79175930344513
294,98.45031957464877,96.79198801965929
295,98.45064583877894,96.79222277457087
296,98.45106507607314,96.79248305183586
297,98.45148950630659,96.79270911508125
298,98.4519155481732,96.79293195698914
299,98.45229166788936,96.79314830731347
300,98.4527526806035,96.7933542780922
301,98.45311405356775,96.79356743322222
302,98.45348616751114,96.79379367334734
303,98.4538680255652,96.7940176785118
304,98.45421484246599,96.79422347294806
305,98.45457020099207,96.79445844722444
306,98.45489476261743,96.79465691847722
307,98.45526159657247,96.79487000531512
308,98.45556024497408,96.79509520402335
309,98.45595181580696,96.7953017826078
310,98.4563549019935,96.79551496914367
311,98.45672014014546,96.79676375252664
312,98.45704896170555,96.79696926627216
313,98.45740401736592,96.79722455624407
314,98.4577446951312,96.79742880091204
315,98.4580877016056,96.79762769562363
316,98.45844060802268,96.79781648296735
317,98.45875153687604,96.79801733773141
318,98.45907070922384,96.79821340354736
319,98.45940161738086,96.79840190637749
320,98.45970626905934,96.7985975947373
321,98.46000523301277,96.79878520729645
322,98.4603210066301,96.79900313204104
323,98.46063952581696,96.79918913974984
324,98.46094792450711,96.79937002671278
325,98.46122549680538,96.79953694954985
326,98.46149740625809,96.79971958340471
327,98.46176107489592,96.80199524608659
328,98.46208002798444,96.80334726362537
329,98.46234813305571,96.8036672600585
330,98.46259274157414,96.8039257083579
331,98.46291717156552,96.8041487661224
332,98.4632204796412,96.80433923867412
333,98.46354138044607,96.80457140192779
334,98.46384026741488,96.80571239886171
335,98.46421047353633,96.80588093299895
336,98.46450998392851,96.80607150900295
337,98.46488591305841,96.80624714199963
338,98.4651787038286,96.80642695824122
339,98.46545807511609,96.80659880280338
340,98.46572469116971,96.80676883456499
341,98.46598973017556,96.80694029568794
342,98.46630235377606,96.80710348439428
343,98.46658834632011,96.80726440700194
344,98.46691130808878,96.80761584955236
345,98.46717742531933,96.80920747275776
346,98.46748597670504,96.81273406318635
347,98.46773854745655,96.81292557703195
348,98.46807177196796,96.81370800706696
349,98.46834681480111,96.81458946622513
350,98.4686706935507,96.81491879648541
351,98.4689523688103,96.81532661595557
352,98.4692611048617,96.81571924106272
353,98.46951068833489,96.81604083746566
354,98.46975292519683,96.81659360027453
355,98.4700134609612,96.81676271240384
356,98.47027617265486,96.81728683118853
357,98.47054179018527,96.81771601161009
358,98.47082531809559,96.81794959077023
359,98.47106125036134,96.81861943804668
360,98.471295767561,96.81881211481864
361,98.4715288819518,96.81899503344596
362,98.47179904957973,96.81932751132679
363,98.47201918485328,96.81998070090066
364,98.47229117687048,96.82031701783194
365,98.47251305525555,96.82068393372839
366,98.47276769168019,96.82115361932983
367,98.47299756549018,96.82146111832931
368,98.47327504480664,96.82173237229493
369,98.47353650223388,96.82202614797873
370,98.47379021246073,96.8223168112962
371,98.47406446915373,96.822526569816
372,98.47432752590701,96.82274232755643
373,98.47460713874847,96.82296971793984
374,98.4748608183345,96.82320416052289
375,98.47508728355403,96.82341426891394
376,98.47535255738867,96.82363392784941
377,98.47558494749747,96.823819136778
378,98.47580553619017,96.82409109525014
379,98.4760215717206,96.8242691289234
380,98.47629568501868,96.8244571657927
381,98.47651720829975,96.82463050382313
382,98.47673226127178,96.82482753885206
383,98.47699183192434,96.8249991054444
384,98.47728344690532,96.82518918644136
385,98.47747987224919,96.82535842703668
386,98.47772107312743,96.82549904259129
387,98.4779559432926,96.82566240411472
388,98.4781750987305,96.82581836075009
389,98.47839242332962,96.82595389243536
390,98.47859557991843,96.82608844899781
391,98.47881475130374,96.82624068099473
392,98.47901890798708,96.82636009904033
393,98.47925196440765,96.82649765225004
394,98.47947579762305,96.82665067708764
395,98.4797014368633,96.82678537372325
396,98.47992152521275,96.82691667815953
397,98.48012836035069,96.82704957529084
398,98.48032855036766,96.82717566323976
399,98.4805300935832,96.82729826490478
400,98.48071731886837,96.82742195435266
401,98.48091169675872,96.8275458547314
402,98.48111215092585,96.82766699217676
403,98.48129867891286,96.82779150080039
404,98.48150027780684,96.82794166612992
405,98.48169517059782,96.82805599758656
406,98.48189664597015,96.82817681762177
407,98.48208445965058,96.828300313879
408,98.48228752056657,96.82841306053137
409,98.48248109194648,96.8285273047626
410,98.48268964005638,96.8286393289306
411,98.48289541949464,96.8287545905477
412,98.48308398077641,96.82887167442952
413,98.48327126293164,96.82898350361191
414,98.48344636287113,96.82909559563902
415,98.48367797083553,96.82921005239452
416,98.4839022389729,96.82931542301996
417,98.48409405318765,96.82942408071018
418,98.48426556627321,96.82953267226438
419,98.48445190442075,96.82963705007317
420,98.48463993505432,96.82973679434873
421,98.48482434599299,96.82984212755855
422,98.48500044221214,96.82995269410833
423,98.48518234505848,96.8300576387611
424,98.48537906263915,96.83015649554086
425,98.48556818720229,96.83026778942889
426,98.48575404855482,96.83035774424367
427,98.48593318749012,96.83045898612279
428,98.48611286331135,96.83055778306725
429,98.48627904856828,96.83066457565245
430,98.48647528882384,96.83076642189944
431,98.48668843574698,96.83087090548055
432,98.48683959550803,96.83097193524571
433,98.48700489445638,96.83106961846933
434,98.4871986192093,96.8311710356565
435,98.48736181495326,96.83126990947488
436,98.48752463406974,96.83136478786255
437,98.48769210353748,96.83147294973689
438,98.48786265113858,96.83156227381843
439,98.4880351661584,96.8316626073184
440,98.4882052889603,96.83175975190878
