Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//
0,0.016344138966195198,0.05933924297822612
1,0.016344138966195198,0.05933924297822612
2,0.20111723576920645,0.0647331213437814
3,0.20111723576920645,0.0647331213437814
4,0.41167412806951975,0.574918037510131
5,0.41167412806951975,0.574918037510131
6,1.5292766775536588,2.4335339740854773
7,1.5292766775536588,2.4335339740854773
8,4.352165073745673,7.619090639666356
9,4.352165073745673,7.619090639666356
10,8.835405633671348,13.910114079507697
11,8.835405633671348,13.910114079507697
12,14.838266674586837,21.008823467874013
13,14.838266674586837,21.008823467874013
14,22.541669233336236,28.26307150203531
15,22.541669233336236,28.26307150203531
16,29.00984686046041,34.57089395037682
17,29.00984686046041,34.57089395037682
18,34.58066723991473,40.201951402797256
19,34.58066723991473,40.201951402797256
20,39.26531188489838,45.09794971689483
21,39.26531188489838,45.09794971689483
22,43.51319340265,49.21106312693483
23,43.51319340265,49.21106312693483
24,47.3933041956179,52.63517131244989
25,47.3933041956179,52.63517131244989
26,51.23357519773239,55.752448876619944
27,51.23357519773239,55.752448876619944
28,54.798409191993315,58.84935472649162
29,54.798409191993315,58.84935472649162
30,57.92286947028615,61.721744831637025
31,57.92286947028615,61.721744831637025
32,60.7643070553438,64.32507382620736
33,60.7643070553438,64.32507382620736
34,63.46787142597366,66.70021158384779
35,63.46787142597366,66.70021158384779
36,65.95445309795402,68.91005969384342
37,65.95445309795402,68.91005969384342
38,68.20686307103087,70.92701919092659
39,68.20686307103087,70.92701919092659
40,70.44135729892909,72.89986539303686
41,70.44135729892909,72.89986539303686
42,72.51228805630272,74.60830397722619
43,72.51228805630272,74.60830397722619
44,74.42445448515164,76.22583801653529
45,74.42445448515164,76.22583801653529
46,76.24481434145211,77.73835696426042
47,76.24481434145211,77.73835696426042
48,77.85156252792696,79.13625918749206
49,77.85156252792696,79.13625918749206
50,79.43555469608282,80.45722097811235
51,79.43555469608282,80.45722097811235
52,80.79865850073047,81.60421226705726
53,80.79865850073047,81.60421226705726
54,82.02164990694219,82.71432312257029
55,82.02164990694219,82.71432312257029
56,83.20650595617454,83.67880778393491
57,83.20650595617454,83.67880778393491
58,84.29219701068422,84.56731964585296
59,84.29219701068422,84.56731964585296
60,85.26068259224661,85.41978822185436
61,85.26068259224661,85.41978822185436
62,86.12108542385384,86.1580032153936
63,86.12108542385384,86.1580032153936
64,86.92674650407687,86.8604092591526
65,86.92674650407687,86.8604092591526
66,87.62755079614854,87.4789185676968
67,87.62755079614854,87.4789185676968
68,88.31967251442711,88.09197276829136
69,88.31967251442711,88.09197276829136
70,88.93437343590907,88.61882508577243
71,88.93437343590907,88.61882508577243
72,89.50577050386592,89.12342926635489
73,89.50577050386592,89.12342926635489
74,90.06056841220534,89.53013208069744
75,90.06056841220534,89.53013208069744
76,90.54924644258725,89.97308648687866
77,90.54924644258725,89.97308648687866
78,90.98572764461304,90.33395456509268
79,90.98572764461304,90.33395456509268
80,91.40791393035703,90.72182318417015
81,91.40791393035703,90.72182318417015
82,91.7922516068955,91.04302209727433
83,91.7922516068955,91.04302209727433
84,92.16493948927196,91.40518457517575
85,92.16493948927196,91.40518457517575
86,92.50844563275854,91.7038096602117
87,92.50844563275854,91.7038096602117
88,92.81468447647427,92.00861145391757
89,92.81468447647427,92.00861145391757
90,93.1130230642972,92.26989132902219
91,93.1130230642972,92.26989132902219
92,93.37357338450953,92.5539463820623
93,93.37357338450953,92.5539463820623
94,93.61080056067948,92.76502746311547
95,93.61080056067948,92.76502746311547
96,93.83964935928935,92.97715149144832
97,93.83964935928935,92.97715149144832
98,94.05982992956018,93.16522237849945
99,94.05982992956018,93.16522237849945
100,94.27229927550643,93.34995464882462
101,94.27229927550643,93.34995464882462
102,94.47206726782946,93.53252059070302
103,94.47206726782946,93.53252059070302
104,94.65280670470138,93.72211694235985
105,94.65280670470138,93.72211694235985
106,94.83322144558578,93.87447133421793
107,94.83322144558578,93.87447133421793
108,95.01162270103684,94.04501958405947
109,95.01162270103684,94.04501958405947
110,95.18700748926082,94.20074684496105
111,95.18700748926082,94.20074684496105
112,95.34554724328018,94.34239403750867
113,95.34554724328018,94.34239403750867
114,95.48669390978209,94.46122491006811
115,95.48669390978209,94.46122491006811
116,95.62187052800284,94.59252419902114
117,95.62187052800284,94.59252419902114
118,95.74249802959312,94.71974589959206
119,95.74249802959312,94.71974589959206
120,95.8732928818248,94.83253621865119
121,95.8732928818248,94.83253621865119
122,95.99216230629656,94.94202497035432
123,95.99216230629656,94.94202497035432
124,96.11386616001963,95.04589270762557
