Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.04034289923857155,0.012610595415269777,0.36189638182004163
1,0.04034289923857155,0.012610595415269777,0.36189638182004163
2,0.08108011494916513,0.19692497331608833,0.5316813503839048
3,0.08108011494916513,0.19692497331608833,0.5316813503839048
4,0.27152951506303724,0.7966621081009089,1.5565396483434881
5,0.27152951506303724,0.7966621081009089,1.5565396483434881
6,1.0729262694865687,2.740518553066851,4.858966490840363
7,1.0729262694865687,2.740518553066851,4.858966490840363
8,2.5554534568686775,8.1310878613664,13.390532674356614
9,2.5554534568686775,8.1310878613664,13.390532674356614
10,6.093830761961267,17.346123864018587,24.16001780832219
11,6.093830761961267,17.346123864018587,24.16001780832219
12,10.566062308418562,27.40911381925677,36.099120742542254
13,10.566062308418562,27.40911381925677,36.099120742542254
14,15.399402007057478,38.018648277542525,48.622495289844416
15,15.399402007057478,38.018648277542525,48.622495289844416
16,20.702480184329367,47.17136712700321,58.631913227250585
17,20.702480184329367,47.17136712700321,58.631913227250585
18,26.806925469399562,56.18001297216693,67.20378415138859
19,26.806925469399562,56.18001297216693,67.20378415138859
20,32.6969377326392,64.65469531982271,74.33729231338043
21,32.6969377326392,64.65469531982271,74.33729231338043
22,40.29082298560281,71.63284283073381,80.33674366686925
23,40.29082298560281,71.63284283073381,80.33674366686925
24,46.20584521887467,77.63417140301766,85.21759398776173
25,46.20584521887467,77.63417140301766,85.21759398776173
26,52.42393820084244,82.59033187407223,88.42440406936868
27,52.42393820084244,82.59033187407223,88.42440406936868
28,57.850378421148704,86.72299663810925,91.20590310877331
29,57.850378421148704,86.72299663810925,91.20590310877331
30,62.227515072211126,89.78806608244895,93.14044286704707
31,62.227515072211126,89.78806608244895,93.14044286704707
32,66.6806780331979,92.07527721144685,94.63698560318007
33,66.6806780331979,92.07527721144685,94.63698560318007
34,70.5573286115342,94.03554911727129,95.70727916848908
35,70.5573286115342,94.03554911727129,95.70727916848908
36,74.51783357050162,95.35520994184267,96.5839793949707
37,74.51783357050162,95.35520994184267,96.5839793949707
38,77.89522663613901,96.35526886103162,97.29320435340252
39,77.89522663613901,96.35526886103162,97.29320435340252
40,80.73314457530957,97.0807824364126,97.78580780284805
41,80.73314457530957,97.0807824364126,97.78580780284805
42,83.47892470820324,97.72168570132098,98.18077285751694
43,83.47892470820324,97.72168570132098,98.18077285751694
44,86.0735424446825,98.15513913355497,98.5453837842667
45,86.0735424446825,98.15513913355497,98.5453837842667
46,88.22097788897491,98.4931887796287,98.77283739385652
47,88.22097788897491,98.4931887796287,98.77283739385652
48,89.86865337165953,98.73764079552619,98.94076821249443
49,89.86865337165953,98.73764079552619,98.94076821249443
50,91.21978527591418,98.94914411365926,99.080708308687
51,91.21978527591418,98.94914411365926,99.080708308687
52,92.50630678867374,99.09909729879365,99.1929484169097
53,92.50630678867374,99.09909729879365,99.1929484169097
54,93.59224442379985,99.22165525276326,99.28797562339959
55,93.59224442379985,99.22165525276326,99.28797562339959
56,94.38139765777828,99.32791746552685,99.35876364732289
57,94.38139765777828,99.32791746552685,99.35876364732289
58,95.14715159388692,99.40774976231657,99.42272844356559
59,95.14715159388692,99.40774976231657,99.42272844356559
60,95.79616199906349,99.47428362614372,99.47000887840194
61,95.79616199906349,99.47428362614372,99.47000887840194
62,96.4710308685691,99.53410729413908,99.5216444764605
63,96.4710308685691,99.53410729413908,99.5216444764605
64,96.93751707325093,99.58438854506494,99.56023549627272
65,96.93751707325093,99.58438854506494,99.56023549627272
66,97.351819005661,99.61688329132674,99.59321738466569
67,97.351819005661,99.61688329132674,99.59321738466569
68,97.67460920566792,99.64609152113988,99.62242392804355
69,97.67460920566792,99.64609152113988,99.62242392804355
70,97.98691378691714,99.67526534480893,99.6430049513459
71,97.98691378691714,99.67526534480893,99.6430049513459
72,98.22640357859096,99.70013108106299,99.66937133810424
73,98.22640357859096,99.70013108106299,99.66937133810424
74,98.4131150685558,99.72003148966897,99.68599173117101
75,98.4131150685558,99.72003148966897,99.68599173117101
76,98.5959631465603,99.73708002084462,99.69733683208267
77,98.5959631465603,99.73708002084462,99.69733683208267
78,98.78372152933929,99.75234337245224,99.71483294428099
79,98.78372152933929,99.75234337245224,99.71483294428099
80,98.91765762404215,99.76735575981678,99.72145056022327
81,98.91765762404215,99.76735575981678,99.72145056022327
82,99.03169241036231,99.77348358725187,99.73411354890001
83,99.03169241036231,99.77348358725187,99.73411354890001
84,99.13434043932351,99.7815682316084,99.74425363287449
85,99.13434043932351,99.7815682316084,99.74425363287449
86,99.2224215122196,99.7897142301092,99.75389511138148
87,99.2224215122196,99.7897142301092,99.75389511138148
88,99.31536193997472,99.79681473840394,99.75751435054981
89,99.31536193997472,99.79681473840394,99.75751435054981
90,99.38449699349806,99.80336691843708,99.76744166014313
91,99.38449699349806,99.80336691843708,99.76744166014313
92,99.45504035145116,99.80994698836552,99.76909402490966
93,99.45504035145116,99.80994698836552,99.76909402490966
94,99.51367749923567,99.81537284651873,99.78047614612657
95,99.51367749923567,99.81537284651873,99.78047614612657
96,99.55567629889578,99.82229718477568,99.7805819225211
97,99.55567629889578,99.82229718477568,99.7805819225211
98,99.59145759359308,99.82808097596693,99.78571412332248
99,99.59145759359308,99.82808097596693,99.78571412332248
100,99.61780951765445,99.83027051976502,99.78795950591712
101,99.61780951765445,99.83027051976502,99.78795950591712
102,99.64702104807074,99.83369727649452,99.79254102649298
103,99.64702104807074,99.83369727649452,99.79254102649298
104,99.67246248935712,99.83550984653397,99.79422906731835
105,99.67246248935712,99.83550984653397,99.79422906731835
106,99.69816281331981,99.83726261338083,99.79690761531408
107,99.69816281331981,99.83726261338083,99.79690761531408
108,99.71613241638383,99.83890314428422,99.79718082818246
109,99.71613241638383,99.83890314428422,99.79718082818246
110,99.73519235980679,99.84291702535369,99.80361649971297
111,99.73519235980679,99.84291702535369,99.80361649971297
112,99.75308059742987,99.84303749964582,99.8028743497287
113,99.75308059742987,99.84303749964582,99.8028743497287
114,99.76648219330646,99.84554411642237,99.80655863855866
115,99.76648219330646,99.84554411642237,99.80655863855866
116,99.77690629605739,99.84659844464697,99.80209747015923
117,99.77690629605739,99.84659844464697,99.80209747015923
118,99.78792063447692,99.84873932219323,99.80779625079707
119,99.78792063447692,99.84873932219323,99.80779625079707
120,99.79086275231285,99.84821987797257,99.80696465502331
121,99.79086275231285,99.84821987797257,99.80696465502331
122,99.79905908860496,99.85043190951532,99.81148168140075
123,99.79905908860496,99.85043190951532,99.81148168140075
124,99.80915390442789,99.84987769528358,99.80795784665449
125,99.80915390442789,99.84987769528358,99.80795784665449
126,99.81663903975196,99.85218460044229,99.81352920244058
127,99.81663903975196,99.85218460044229,99.81352920244058
128,99.82350660677662,99.8505893032825,99.81051986289559
129,99.82350660677662,99.8505893032825,99.81051986289559
