Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
25,83.99826190857954,72.03433402497406,47.3933041956179,30.55331086234337,20.08294881411022,13.811747315590614
26,84.79364022750444,73.55475934189056,51.23357519773239,30.55331086234337,20.08294881411022,13.811747315590614
27,85.58173294530751,74.90764544716811,51.23357519773239,36.54819745654117,20.08294881411022,13.811747315590614
28,86.2719997650999,76.2636881629288,54.798409191993315,36.54819745654117,27.80023575922741,13.811747315590614
29,86.87479559118015,77.56137338920824,54.798409191993315,36.54819745654117,27.80023575922741,13.811747315590614
30,87.40815707302882,78.68161277631734,57.92286947028615,41.615075080061025,27.80023575922741,21.07829037108017
31,87.93370053679729,79.74251147198804,57.92286947028615,41.615075080061025,27.80023575922741,21.07829037108017
32,88.46460602049038,80.7716778246249,60.7643070553438,41.615075080061025,33.51295642688579,21.07829037108017
33,88.92022670076757,81.75339039430587,60.7643070553438,46.26970786829093,33.51295642688579,21.07829037108017
34,89.33513269131073,82.60182531665207,63.46787142597366,46.26970786829093,33.51295642688579,21.07829037108017
35,89.74586547373636,83.41015675137426,63.46787142597366,46.26970786829093,33.51295642688579,27.869987102029597
36,90.13813344651012,84.12809194945342,65.95445309795402,50.148956074000154,39.60140168233543,27.869987102029597
37,90.47541690764339,84.92349578435903,65.95445309795402,50.148956074000154,39.60140168233543,27.869987102029597
38,90.7768868045448,85.58656471719661,68.20686307103087,50.148956074000154,39.60140168233543,27.869987102029597
39,91.08768146770578,86.18868037120289,68.20686307103087,53.85887258894403,39.60140168233543,27.869987102029597
40,91.32628552780858,86.78101696759597,70.44135729892909,53.85887258894403,44.63895406140839,34.85102631287187
41,91.54519138603365,87.33300524582899,70.44135729892909,53.85887258894403,44.63895406140839,34.85102631287187
42,91.77960607594603,87.83970204281798,72.51228805630272,57.32841700928195,44.63895406140839,34.85102631287187
43,91.9746653795549,88.32268474996434,72.51228805630272,57.32841700928195,44.63895406140839,34.85102631287187
44,92.15275490484774,88.79732186163417,74.42445448515164,57.32841700928195,49.07212417408401,34.85102631287187
45,92.30325780788678,89.21898657121137,74.42445448515164,60.5752455485782,49.07212417408401,40.69836050686008
46,92.49020739039823,89.5883131730089,76.24481434145211,60.5752455485782,49.07212417408401,40.69836050686008
47,92.66066193464665,89.97717179805048,76.24481434145211,60.5752455485782,49.07212417408401,40.69836050686008
48,92.7957000660797,90.34153798452553,77.85156252792696,63.51562298930049,53.06829596469762,40.69836050686008
49,92.9334425962294,90.65561500163136,77.85156252792696,63.51562298930049,53.06829596469762,40.69836050686008
50,93.08019451440637,90.97024028358322,79.43555469608282,63.51562298930049,53.06829596469762,45.74255989313367
51,93.2052903579293,91.28628592583634,79.43555469608282,66.21239896304691,53.06829596469762,45.74255989313367
52,93.33087288937827,91.57259362956233,80.79865850073047,66.21239896304691,56.467707323760195,45.74255989313367
53,93.46144232506947,91.84436823183485,80.79865850073047,66.21239896304691,56.467707323760195,45.74255989313367
54,93.56030040445411,92.12377647784137,82.02164990694219,68.64959257191539,56.467707323760195,45.74255989313367
55,93.67225403341786,92.35906927051039,82.02164990694219,68.64959257191539,56.467707323760195,50.74414518483968
56,93.76065491086385,92.60852168733305,83.20650595617454,68.64959257191539,59.791510087146605,50.74414518483968
57,93.86826648121088,92.80976845342529,83.20650595617454,71.06187398776308,59.791510087146605,50.74414518483968
58,93.94983030484947,93.00998533450723,84.29219701068422,71.06187398776308,59.791510087146605,50.74414518483968
59,94.0192652327472,93.20443012708488,84.29219701068422,71.06187398776308,59.791510087146605,50.74414518483968
60,94.11424521021067,93.38944782914953,85.26068259224661,73.16127535316828,62.86343265128589,54.58541191615167
61,94.18677588713358,93.57324198677473,85.26068259224661,73.16127535316828,62.86343265128589,54.58541191615167
62,94.25447135442148,93.74206845913912,86.12108542385384,73.16127535316828,62.86343265128589,54.58541191615167
