Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
16,77.8755554798813,81.01763103073506,79.20980943939199,79.22396838188536,79.21462720435174,81.89395370028096,82.85745265991113
17,77.8755554798813,81.01763103073506,79.20980943939199,79.9537036643991,79.21462720435174,81.89395370028096,82.85745265991113
18,79.13649319230667,82.09734961674089,80.36071924502224,80.60804389386902,80.2871610729882,82.89874122841167,83.78629690413213
19,79.13649319230667,82.09734961674089,80.36071924502224,81.17922999280432,80.2871610729882,82.89874122841167,83.78629690413213
20,80.20273109818012,82.95081847314472,81.26666659291972,81.71184770276427,81.21093944138849,83.73018442614178,84.53181071889826
21,80.20273109818012,82.95081847314472,81.26666659291972,82.19488866127936,81.21093944138849,83.73018442614178,84.53181071889826
22,81.13426046592734,83.69619514480111,82.07696414091242,82.63954383088468,82.1854839605838,84.37268535225975,85.12978974165274
23,81.13426046592734,83.69619514480111,82.07696414091242,83.04023222545514,82.1854839605838,84.37268535225975,85.12978974165274
24,82.06599818842137,84.34419954519818,82.80722494477106,83.4845435074056,82.92893968683515,84.96339120796151,85.64606181556655
25,82.06599818842137,84.34419954519818,82.80722494477106,83.81391193533943,82.92893968683515,84.96339120796151,85.64606181556655
26,82.74818631856688,84.88713445991819,83.45552678778083,84.16341370335688,83.59935449739844,85.46622767220614,86.04172714723455
27,82.74818631856688,84.88713445991819,83.45552678778083,84.45203195607142,83.59935449739844,85.46622767220614,86.04172714723455
28,83.3901455994131,85.35573883018714,84.06900508662179,84.72426497722424,84.16217325588782,85.87312824379154,86.37647839865771
29,83.3901455994131,85.35573883018714,84.06900508662179,84.99547494162337,84.16217325588782,85.87312824379154,86.37647839865771
30,83.9407615261284,85.72944946400794,84.59005037960466,85.17954202258905,84.62030310681598,86.23163055834621,86.65139299020578
31,83.9407615261284,85.72944946400794,84.59005037960466,85.3700687605795,84.62030310681598,86.23163055834621,86.65139299020578
32,84.39168498513244,86.04341834475584,85.07632957493216,85.55960967898247,85.0262606777852,86.51572709749296,86.89487754201964
33,84.39168498513244,86.04341834475584,85.07632957493216,85.75224307209342,85.0262606777852,86.51572709749296,86.89487754201964
34,84.82755938387443,86.30186470382873,85.47516511317158,85.92074143431809,85.40163706201587,86.76546452907935,87.07964938484713
35,84.82755938387443,86.30186470382873,85.47516511317158,86.07683355848002,85.40163706201587,86.76546452907935,87.07964938484713
36,85.20662837092007,86.54155174846461,85.85486196812155,86.21997341096747,85.78095511232063,86.97008992206104,87.2383644650568
37,85.20662837092007,86.54155174846461,85.85486196812155,86.37637203228621,85.78095511232063,86.97008992206104,87.2383644650568
38,85.52078203516231,86.76844752654202,86.17653976764933,86.50277427149854,86.07138220880455,87.1512230754557,87.39147092976975
39,85.52078203516231,86.76844752654202,86.17653976764933,86.6085287342749,86.07138220880455,87.1512230754557,87.39147092976975
40,85.79137029226675,86.95863208572031,86.47863633057258,86.71805360963744,86.33590116895564,87.30231323693117,87.50612846687699
41,85.79137029226675,86.95863208572031,86.47863633057258,86.82539293688055,86.33590116895564,87.30231323693117,87.50612846687699
42,86.01839322182107,87.12136368166327,86.74806439647269,86.91349001840784,86.57857955359621,87.43772268259079,87.61259299609202
43,86.01839322182107,87.12136368166327,86.74806439647269,86.99332948079716,86.57857955359621,87.43772268259079,87.61259299609202
44,86.22753204383484,87.28097287673798,86.9732194145436,87.0765684154123,86.79315238011112,87.5568799226223,87.71366703204568
45,86.22753204383484,87.28097287673798,86.9732194145436,87.1550786471707,86.79315238011112,87.5568799226223,87.71366703204568
