Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize50//,data//output//runtimePerformance//DECMO2++//SolutionSetSize100//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize400//,data//output//runtimePerformance//DECMO2++//SolutionSetSize500//
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.11214673252506749,0.0,0.0,0.0,0.0,0.0
12,0.5588931524744418,0.0,0.0,0.0,0.0,0.0
13,1.3875224756762257,0.0,0.0,0.0,0.0,0.0
14,4.260710957878579,0.0,0.0,0.0,0.0,0.0
15,7.54696649886567,0.0011278751250210154,0.0,0.0,0.0,0.0
16,14.610981049753502,0.0011278751250210154,0.0,0.0,0.0,0.0
17,20.327461144183225,0.0011278751250210154,0.0,0.0,0.0,0.0
18,29.365786515846427,0.4856383772078297,0.0,0.0,0.0,0.0
19,37.938130505339664,0.9850218719796136,0.0,0.0,0.0,0.0
20,47.57012705493437,1.9385968938895062,0.0,0.0,0.0,0.0
21,55.4949994244131,3.0118811231244194,0.0,0.0,0.0,0.0
22,63.23386517993963,3.7471756559665352,0.0,0.0,0.0,0.0
23,68.36407768540225,7.9235592526715335,0.0,0.0,0.0,0.0
24,73.94510000693448,11.416871564838056,0.0,0.0,0.0,0.0
25,77.51062235110227,18.40812335216439,0.0,0.0,0.0,0.0
26,79.22802920317453,25.267514373597756,0.0,0.0,0.0,0.0
27,80.50250016507053,32.78917526441256,0.0,0.0,0.0,0.0
28,81.51679561438829,41.11968132569576,0.0022572025133288333,0.0,0.0,0.0
29,83.13015744065538,48.07463800294736,0.0022572025133288333,0.0,0.0,0.0
30,84.30092196605905,56.13009594990353,0.08021902823263678,0.0,0.0,0.0
31,85.19934525958922,64.73326493953816,0.08021902823263678,0.0,0.0,0.0
32,86.33088664549929,71.67093836269471,0.33717123840346885,0.0,0.0,0.0
33,87.12691950704816,77.45770446824032,0.33717123840346885,0.0,0.0,0.0
34,87.56112966065383,82.46821638293927,0.9540783961023866,0.0,0.0,0.0
35,88.21678383173331,86.78252108092055,0.9540783961023866,0.0,0.0,0.0
36,88.49016279481611,89.56221206514357,2.672613551978522,0.0,0.0,0.0
37,89.45731459575843,91.24907906849894,2.672613551978522,0.0,0.0,0.0
38,90.08004116709841,92.51055963892081,6.744697258921316,0.0,0.0,0.0
39,90.49818483101117,93.8518191367812,6.744697258921316,0.13010172584612412,0.0,0.0
40,90.98074095992722,94.41858618488057,10.185409348074144,0.13010172584612412,0.11339402964601632,0.0
41,91.58536584441097,94.81543385557426,10.185409348074144,0.13010172584612412,0.11339402964601632,0.0
42,92.07616518120139,95.18966791720358,20.299859298619957,0.14234372531189024,0.11339402964601632,0.0
43,92.67896793465354,95.67306821913347,20.299859298619957,0.14234372531189024,0.11339402964601632,0.0
44,92.81772396146077,95.80182580522514,31.907199320476227,0.14234372531189024,0.11339402964601634,0.0
45,93.51417021040191,96.15633814946659,31.907199320476227,0.15093601003882134,0.11339402964601634,0.0
46,93.90145303367112,96.13330975022338,45.392532881060255,0.15093601003882134,0.11339402964601634,0.0
47,94.1989093925784,96.34852051752178,45.392532881060255,0.15093601003882134,0.11339402964601634,0.0
48,94.85903778574759,96.22627354383604,56.954298237700854,0.5324660263176829,0.4360506383300037,0.0
49,95.1169369793913,96.40668122280641,56.954298237700854,0.5324660263176829,0.4360506383300037,0.0
50,95.24420320509786,96.27817598334838,67.74837473638114,0.5324660263176829,0.4360506383300037,0.0
51,95.29715639800108,96.47413990833496,67.74837473638114,2.238583253064321,0.4360506383300037,0.0
52,95.38608260467689,96.32709026967989,75.92373983906951,2.238583253064321,0.9089497292040915,0.0
53,95.42657331629228,96.63259179515869,75.92373983906951,2.238583253064321,0.9089497292040915,0.0
54,95.45648797738494,96.41102335827368,82.76950538933255,6.622920920007684,0.9089497292040915,0.0
55,95.48646376808034,96.62985956691105,82.76950538933255,6.622920920007684,0.9089497292040915,0.004380933310037338
56,95.45554453329599,96.73944585188477,87.88707197924408,6.622920920007684,1.0531833994785402,0.004380933310037338
57,95.4722509139414,97.062317928367,87.88707197924408,18.0888255273136,1.0531833994785402,0.004380933310037338
58,95.48815979539441,96.95217064686238,91.74403262308952,18.0888255273136,1.0531833994785402,0.004380933310037338
59,95.50391853622546,97.39974744535532,91.74403262308952,18.0888255273136,1.0531833994785402,0.004380933310037338
