Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.03687719903587759,0.0,0.0,0.0
12,0.0,0.0,0.0,0.038561154100358694,0.0,0.0,0.008156292182729733
13,0.0,0.0,0.0,0.046054833959151414,0.0,0.0,0.008156292182729733
14,0.0,0.0,0.0,0.08831058659844,0.0,0.0068946554552180555,0.29586266698689556
15,0.0,0.0,0.0,0.17534455236473634,0.0,0.0068946554552180555,0.29586266698689556
16,0.0,0.023677537309839618,0.0,0.3202048995408019,0.018762006935567562,0.35124090073946024,1.0213883377935205
17,0.0,0.023677537309839618,0.0,0.502714237012433,0.018762006935567562,0.35124090073946024,1.0213883377935205
18,0.0065960759268047,0.02419471023917458,0.0,0.7995619497270772,0.05796795106787977,0.6775166202208812,2.639162709766271
19,0.0065960759268047,0.02419471023917458,0.0,1.209935935999766,0.05796795106787977,0.6775166202208812,2.639162709766271
20,0.10841625333031876,0.16182579607884975,0.0,1.716771739415919,0.09638433863610134,1.6692449637158298,6.630205955592983
21,0.10841625333031876,0.16182579607884975,0.0,2.270743377400794,0.09638433863610134,1.6692449637158298,6.630205955592983
22,0.27467742569204995,0.5707212085059753,0.0,2.787690938625981,0.3706742274745233,3.123844951205749,11.089741480793872
